Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.05439178384003211,0.006110891548198957,-0.24666144687607322,0.13408104302745177,-0.032720426124115846,0.1001645682044723,0.3972606747622519,1.3928898943714052,0.0,0.08358853384677159
1,1,parameters/conv2d_4.bias,0.04634963099519146,0.009105072748438902,-0.3501355243958952,0.06591906849126537,-0.0726997536289526,0.12178691817002,0.5224310539827025,0.39911286813331287,0.0,0.09998176690655113
2,2,parameters/conv2d_8.bias,0.04803207089760765,0.011425424624001401,-0.3763850785408792,0.029227461325586263,-0.08846455940479978,0.1363682454681681,0.012041352720065263,0.4654687218691298,0.0,0.10212989226822301
3,3,parameters/conv2d_1.bias,0.034154678526149305,0.0029161263435596987,-0.21124796869284754,0.10426972253824786,0.00032417001633517256,0.0682313360789192,0.3069946770080132,0.30963233622090536,0.006555226660265343,0.052204920523121166
4,4,parameters/conv2d_2.bias,0.03366147361748166,0.0031708923826588614,-0.13699783278924316,0.11339411330892238,-0.012914712181667738,0.0717731706806784,0.06623536000363434,-0.08517153863682153,0.033466085475405166,0.054661101443833515
5,5,parameters/conv2d_5.bias,0.055775320066540915,0.004199587139047947,-0.21347219754451688,0.10596827059254543,-0.037374301699563114,0.0733588106741028,0.04145787458264115,-0.04272449712866312,0.0,0.06954654138199916
6,6,parameters/conv2d_6.bias,0.043128782082876876,0.0035885785674102224,-0.18614548777860748,0.10863571875381689,-0.024507126405616572,0.0724512647899365,0.2711130050920708,-0.3445436029227341,0.10052178942620293,0.058068284177937086
7,7,parameters/conv2d_3.bias,0.03524577551810497,0.002795860766994001,-0.18574508242020538,0.1457412030200095,-0.017108011597738445,0.0648174012707711,0.3061520334111091,0.417399356819118,0.0,0.05579242606224114
8,8,parameters/conv2d_7.bias,0.030886723282407873,0.0034827596505960868,-0.18210402707707654,0.0900871219481881,-0.023541882731053926,0.0666305761809978,0.08735106796529055,0.48511246945864245,0.0,0.05909001878931239
9,9,parameters/conv2d_9.bias,0.05289621059144009,0.004696740940785971,-0.24086499841060266,0.08961636018498283,-0.042969614375214495,0.0832947722484596,0.07661515751059467,0.04974769633842028,0.0,0.07099908794471212
10,10,parameters/conv2d_10.bias,0.0432819178362179,0.003791540479080151,-0.22659310669521215,0.09420173292975549,-0.033861602343369546,0.0757358797870902,0.018147723921144804,-0.5195527624290435,0.09919584679035909,0.05998033975194048
11,11,parameters/conv2d_11.bias,0.048538540034779,0.0035471122260746944,-0.2174284848590655,0.12234129108157966,-0.026779887972859177,0.0757994645460635,-0.10282480188643442,-0.6665291392030199,0.056041689202800754,0.05559607207815457
12,12,parameters/dense.bias,0.02754731082962223,0.0017299213231344868,-0.21576740086506346,0.09628169754404174,0.0013131029890104911,0.0468062925336941,0.6436481965310256,0.351499480582224,0.09602614638098178,0.04416775851824859
13,13,parameters/dense_1.bias,0.07280464779498731,0.011723207307284924,-0.2179740034436273,0.19773824279378951,0.014560910408672167,0.1248120147300109,0.3729950653727989,-0.08457616760566672,0.0,0.10419458833089827
14,14,parameters/dense_2.bias,0.3728872721217891,0.0,-0.3728872721217891,-0.3728872721217891,-0.3728872721217891,0.0,1.8546350732784973,24.262145796620864,0.0,0.0
