Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
0,parameters/classifier.dense.weight,2.0771006833459215e-09,1.3487383863733343e-18,9.772126038265315e-10,5.2105927496325775e-09,1.831291045712778e-06,0.020884424568294,-2.429323126644094,2.3357654512754222,0.02919635480992331,1.058460807482073e-09,1.1613519648983822e-09
1,parameters/classifier.out_proj.weight,1.134473822670902e-07,1.0224964871559004e-17,1.0253229521649347e-07,1.1371723281285577e-07,-4.371185445960871e-05,0.0187137944230178,-1.4671261549620633,2.425263422863737,0.0,1.0523011846789599e-07,3.1976498982157197e-09
2,parameters/encoder.roberta.embeddings.word_embeddings.weight,5.579825863460732e-07,1.736025801825825e-14,1.0805111637495706e-07,6.409198269816836e-07,-0.0113615072623671,0.1283658394965572,1.5573718661931313,3.8382757759669097,0.0,3.501745807708446e-07,1.3175833187414847e-07
3,parameters/encoder.roberta.embeddings.position_embeddings.weight,3.798561228254295e-08,3.1628076717608163e-16,1.087019149719939e-08,8.300710519438527e-08,0.0003445132038981,0.0755137771931206,2.843203124736438,10.612774910041182,0.023621392789491737,4.520867021376997e-08,1.7784284275058177e-08
4,parameters/encoder.roberta.embeddings.token_type_embeddings.weight,3.865137200961429e-06,6.546719137874566e-12,1.041290447640878e-06,9.994318397849677e-06,-0.0002076929983255,0.0251005607441857,3.977016722765647,20.97517350643948,0.08265705825993269,8.086458458898485e-06,2.5586557286736653e-06
5,parameters/encoder.roberta.embeddings.LayerNorm.weight,1.094143543560349e-08,1.0875289974192946e-18,9.435557723200347e-09,1.2698724026733063e-08,0.3357254763638286,0.0639204642931742,0.4412609030305651,-0.28666322813581546,0.0,1.2378157069743195e-08,1.0428465838364215e-09
6,parameters/encoder.roberta.encoder.layer.0.attention.self.query.weight,3.84799167312203e-06,2.595458044070101e-12,9.957506651038343e-07,6.497673643293548e-06,8.546326140564047e-05,0.1016103293044025,1.198787210493441,1.8796098346217127,0.0,1.3624650586079274e-06,1.6110425332901987e-06
7,parameters/encoder.roberta.encoder.layer.0.attention.self.key.weight,1.2219306652236772e-07,1.0510380124586706e-16,9.631652758491423e-08,1.324406293086306e-07,0.000112793106243,0.1006120468130983,1.1736545279546868,2.173461926459427,0.0,9.937956299791184e-08,1.0252014496959469e-08
8,parameters/encoder.roberta.encoder.layer.0.attention.self.value.weight,2.892838574973923e-09,3.513890876137298e-18,9.745850370928221e-10,7.443466543829425e-09,3.158816936226893e-05,0.0397860407903909,1.604733464861789,3.605600290531482,0.0,3.259726540780482e-09,1.874537509930729e-09
9,parameters/encoder.roberta.encoder.layer.0.attention.output.dense.weight,2.15486690929474e-07,1.848267479199954e-15,1.0590672122889406e-07,2.718608607940682e-07,3.304292350580742e-06,0.0403816936415788,3.279895814785141,12.527814364427524,0.0,1.2223588661403718e-07,4.299148147249585e-08
