Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.06077720026192997,0.007276144344176667,-0.2756186889875615,0.14982171622417345,-0.03656169646963172,0.1071047033774058,0.5172018763502959,1.1435815157514753,0.07775944668889878,0.08530031854674826
1,1,parameters/conv2d_4.bias,0.05266106296458556,0.01141113655893755,-0.39781349927604187,0.07489527191156048,-0.08259928334189565,0.12760853950771,0.4369166173051143,0.8843750062817196,0.0,0.10682292150534749
2,2,parameters/conv2d_8.bias,0.05080242209763205,0.011891964465823985,-0.398093883398155,0.03091321692687222,-0.09356693982951977,0.1302956605332593,0.2783247682659366,0.18586032346525114,0.0,0.1090502841162005
3,3,parameters/conv2d_1.bias,0.03680767937924368,0.0028191107845038465,-0.22765687855061395,0.11236898374587699,0.00034935026592317314,0.0659617465336979,0.480950611311601,0.024214432658469287,0.0,0.053095299081029
4,4,parameters/conv2d_2.bias,0.04104247353619736,0.003691188521432427,-0.16703754537498341,0.13825820424644233,-0.01574653976730323,0.0696706335057795,0.29531762853710275,0.43963066568474696,0.008402738648875797,0.0607551522212933
5,5,parameters/conv2d_5.bias,0.05221465634532439,0.004330087459340332,-0.19984425765321154,0.09920331834755988,-0.034988348198827075,0.0787271482502795,-0.07156566778847387,-0.40411810775581475,0.05166574421167354,0.06580340005911853
6,6,parameters/conv2d_6.bias,0.04307798431958804,0.003355719386072265,-0.18592624267200314,0.10850776588198822,-0.024478261523606888,0.0702301725486561,0.23731323870957657,-0.49886808296166196,0.030599843953308326,0.05792857141404703
7,7,parameters/conv2d_3.bias,0.040191434455219416,0.002840146798627083,-0.2118086833310339,0.16619149167521194,-0.01950859405651147,0.0683925964345908,0.49166751184668833,0.5697655802236032,0.0,0.05329302767367564
8,8,parameters/conv2d_7.bias,0.03401202323279549,0.003087449459054304,-0.20053038139072815,0.09920266571050072,-0.02592398860413949,0.0667153770324049,0.4643018402796861,0.45667560952843333,0.0,0.055564822136440976
9,9,parameters/conv2d_9.bias,0.05322704088456682,0.005009362086751353,-0.24237144730622595,0.09017685036712347,-0.04323836047177504,0.0862923331846943,0.14918590078766583,0.3490821245668363,0.004930444850482974,0.0707768471094281
10,10,parameters/conv2d_10.bias,0.03874611716838936,0.00351588492255669,-0.20284690467702302,0.08432970542972061,-0.030313019327617007,0.0737739008552545,0.34871313055853115,-0.3038940726251605,0.07249368619737005,0.05929489794709811
11,11,parameters/conv2d_11.bias,0.046827112617467435,0.003265349532480706,-0.20976214240159377,0.11802764176958372,-0.025835652021871717,0.0707575492688124,0.15479185481349314,-0.35502402406343764,0.04010287254064285,0.057143236979372784
12,12,parameters/dense.bias,0.025648723779176104,0.0019248013585732682,-0.20089650490993713,0.0896458707193223,0.0012226026731627481,0.0497045820542529,0.32237440273570067,0.09603724513357634,0.0,0.04387255814940887
13,13,parameters/dense_1.bias,0.07561548729148408,0.009998403177221858,-0.22638953674603626,0.2053725145009719,0.015123077568616382,0.120109769727107,0.2453543889067222,0.013778593408485432,0.0,0.09999201556735378
14,14,parameters/dense_2.bias,0.43757413476328966,0.0,-0.43757413476328966,-0.43757413476328966,-0.43757413476328966,0.0,1.9514009670747168,24.28332155612926,0.08803699317321588,0.0
