layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
fc2.bias,0.6342164148221351,0.0033714404633777874,0.6130622964595072,0.6635540669254307,0.6333700404696998,0.05806410649771329,2.734681438966825,6.904092309521387,0.0462214130126259
fc1.bias,0.09211845210134255,0.005277058082870384,-0.4916049616587373,0.2710511170975084,-0.09626400570998213,0.072643362276745,1.3106112182710985,0.30744668403172315,0.0
convs_code_file.2.bias,0.4713405825287769,0.0019564867726599897,0.461731512367805,0.4842117607952662,0.4713616603480358,0.044232191587802346,1.201111378927506,-0.04881005379663053,0.0
convs_code_file.1.bias,0.6173337440721526,0.0030539528701728105,0.5915359784684626,0.6308435525967218,0.616478639974451,0.055262581103065075,2.295044851969962,5.101655725665875,0.0
convs_code_file.0.bias,0.5031722289362631,0.002864458131528491,0.4811860101383319,0.5276027461943222,0.5039394500835529,0.0535206327646505,7.17324111716132,52.3191607856165,0.0
convs_code_line.2.bias,0.4625464643811118,0.002274697801548601,0.4501017797451451,0.4804753238223866,0.4616052580705459,0.047693792065095844,2.947742658348178,8.66582543165694,0.0
convs_code_line.1.bias,0.6257164935186431,0.003106429402248809,0.604730009381654,0.6396302368336416,0.6253012737975494,0.055735351458915734,5.656708724003074,31.51499296167363,0.04538351282819202
convs_code_line.0.bias,0.49672959214765927,0.0023720535768877254,0.47241529725101616,0.5202254901892095,0.4967398240139053,0.048703732679208266,1.2453485121605468,0.42210298492015424,0.0
convs_msg.2.bias,0.5242555474914165,0.0024267971144820385,0.509178897752136,0.5385673651704008,0.5252710117621764,0.04926253256260867,1.1430847021704793,0.2627890597404827,0.03415721750805718
convs_msg.1.bias,0.5402438019260191,0.0029075836831904756,0.5196073332512058,0.5528788785479429,0.5405439582890831,0.05392201482873703,0.8526599258595529,-0.299598206585328,0.0
convs_msg.0.bias,0.49353943564927116,0.0024855090133044603,0.48064770374629506,0.5112958608699008,0.49321650466603495,0.049854879533547114,3.9938678267193284,17.117283355313305,0.0
