Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.00452050310671749,0.0031535175997261613,-0.21516771631739828,0.21516771631739828,-0.003770867580276894,0.9626152901435628,0.5559065160856871,-1.0876759445189652,0.0
1,1,parameters/conv2d_4.weights,0.004413579819688372,0.003635092954871469,-0.20976750162608454,0.20976750162608454,-0.00479005008090399,1.0285623691034407,0.6377127566999724,-1.268246977216158,0.0474150261691531
2,2,parameters/conv2d_8.weights,0.0038968638906930887,0.003119143824850247,-0.18925323720078338,0.18925323720078338,-0.0036872080311355676,0.9977984428300001,0.7174326743799004,-0.6385655911661773,0.09752565206262116
3,3,parameters/conv2d_1.weights,0.048840153373341355,0.3713176618602271,-2.604662345857845,2.4456051987961014,-0.034448926323832965,1.0598288920306769,1.1024824554131067,-0.9598064759548137,0.0
4,4,parameters/conv2d_2.weights,0.003172518676116859,0.0018661698193471197,-0.19981343146722919,0.19981343146722919,-0.005608327283336802,0.9664048515186469,1.090462013873375,-0.21709354164533384,0.09652028665768114
5,5,parameters/conv2d_5.weights,0.0038664842612099377,0.0025589743496588586,-0.18974930134158832,0.18974930134158832,-0.012559466189724422,0.9500751543348432,0.6986961553234171,-0.8740484402391974,0.09719262326002537
6,6,parameters/conv2d_6.weights,0.0036148419003858745,0.002341503935873685,-0.19612591674590305,0.19612591674590305,-0.008063979269983207,0.997108436029661,1.1842718924562345,0.025395881000975493,0.0
7,7,parameters/conv2d_3.weights,0.0034953279204846823,0.0021375609879089267,-0.21378258904682196,0.21378258904682196,-0.005513196424488433,1.0482439784802213,1.1867224454776109,-0.005467737388280075,0.0
8,8,parameters/conv2d_7.weights,0.0029783704440108543,0.0019068820291395759,-0.19520626883015663,0.19520626883015663,-0.006325608087461401,1.047228018129049,1.1498049629540983,0.39540282964797535,0.0
9,9,parameters/conv2d_9.weights,0.04676887766527292,0.35305997424678276,-2.773220361806752,2.517946160195322,-0.16638019295367976,0.9308603831972515,0.8872703351111523,-0.678556710906816,0.005301278179517133
10,10,parameters/conv2d_10.weights,0.0028521122054520126,0.0019436266487279559,-0.19473125626386045,0.19473125626386045,-0.0074318290189866855,1.0335521611349423,1.3910197248622536,0.08688076398951768,0.009248445058020872
11,11,parameters/conv2d_11.weights,0.041995395824347775,0.41453099227677326,-3.2227220356430655,2.5947351128092935,-0.10172706724204728,1.0584646694880717,1.196656815698574,0.3453209628673738,0.0734092350286613
12,12,parameters/dense.weights,0.002973162217566221,0.0013326472201621526,-0.21880358111468784,0.21880358111468784,-0.0008158336846996283,0.9866473358179514,1.5051349948948183,0.7618213369334049,0.0
13,13,parameters/dense_1.weights,0.004542290954876352,0.002950964773512671,-0.19290715770005099,0.19290715770005099,-0.004686538822361703,0.9357369286775267,0.6695647010650134,-0.9818750619189622,0.0
14,14,parameters/dense_2.weights,0.019535214513171528,0.03856188015558912,-0.1852777163910062,0.1852777163910062,-0.08705840221344482,1.0135300498172481,1.387283038085489,1.093054815202336,0.061078069680914004
