Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004084229675763224,0.0029123246144455773,-0.19440189543146824,0.19440189543146824,-0.0034069414202711765,0.9250708936205,0.8530547256098389,-1.0559654744785203,0.024124719167043687
1,1,parameters/conv2d_4.weights,0.0038819080775291614,0.0030880832122256725,-0.18449834198827378,0.18449834198827378,-0.004213027714573724,0.9480197127291727,0.8564148779707469,-0.827424563408032,0.08920603395715963
2,2,parameters/conv2d_8.weights,0.004024965104871102,0.0031480102825957204,-0.19547453980528057,0.19547453980528057,-0.0038084172493593484,1.0024049269937103,0.9276394362679234,-0.7219079267528544,0.0
3,3,parameters/conv2d_1.weights,0.04372521692977231,0.32768434140652003,-2.3318810084574526,2.1894816141242317,-0.03084115573907111,0.9956135429925688,0.8659883991950365,-0.9236620919544096,0.0
4,4,parameters/conv2d_2.weights,0.0032961504056954936,0.0022025421991615896,-0.20760007755108206,0.20760007755108206,-0.005826881458384449,1.04989444948787,1.2902597316495925,-0.32401819861045456,0.0
5,5,parameters/conv2d_5.weights,0.003694917253218044,0.00247408326528542,-0.18132958003913016,0.18132958003913016,-0.012002166614561514,0.9341834098959327,0.8220880499302083,-0.694089544460602,0.05978389676984761
6,6,parameters/conv2d_6.weights,0.003911055473452562,0.002290213717577284,-0.212197202896504,0.212197202896504,-0.008724771685950953,0.9861272281532566,1.1026044850572427,0.13028363446657829,0.06361299879232621
7,7,parameters/conv2d_3.weights,0.0033906497281823334,0.0017652453029492771,-0.2073802212357829,0.2073802212357829,-0.005348087041720365,0.9525891953949781,1.3765313885607622,-0.0730220776215576,0.03117766437989651
8,8,parameters/conv2d_7.weights,0.002942184490897819,0.0015439177905482273,-0.19283459444510392,0.19283459444510392,-0.006248754599298234,0.9423048489188408,1.46146885712492,0.7080217030038056,0.019617722178405586
9,9,parameters/conv2d_9.weights,0.045545958173952156,0.411395941364803,-2.7007057879387686,2.4521065336933257,-0.1620296591993954,1.0048247095810137,1.1008688796173378,-0.5300267129624314,0.0
10,10,parameters/conv2d_10.weights,0.0032094079556697465,0.0015870118364162589,-0.21912603644278794,0.21912603644278794,-0.008362844607978193,0.9339337282325831,1.254047535039096,-0.2468750975709976,0.04971819393309285
11,11,parameters/conv2d_11.weights,0.03934944864393649,0.33983246313529475,-3.019672341359311,2.4312521423339573,-0.0953176873217716,0.9583635662234904,1.5024497011029352,0.23745664101305772,0.0
12,12,parameters/dense.weights,0.0028039643512786923,0.0015503026945988163,-0.2063518222291669,0.2063518222291669,-0.0007694059055891887,1.064173891244261,1.601973599831784,0.7098624132658538,0.0
13,13,parameters/dense_1.weights,0.004840502444246181,0.0032550733325357167,-0.20557194103940857,0.20557194103940857,-0.0049942205045986465,0.9827705755516766,0.6539510868255201,-0.9923171424810213,0.0
14,14,parameters/dense_2.weights,0.020427520277450067,0.03342688676967648,-0.1937406065331436,0.1937406065331436,-0.09103495000469425,0.9436381582631219,1.4578114177751775,1.396114506271787,0.0
