Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,0,gradients/conv2d/kernel.gradient,0.004944987349231037,0.11058487939516264,0.06630216335173376,-1.2447586019869263,1.6061810681077517,0.2574920646383763,0.01766366468638032,0.43967303584709394,4.7460143979479685
1,1,gradients/conv2d/bias.gradient,-0.03542578349812908,0.04555319150470345,0.033459850015859195,-0.7460882423514862,0.3885981789913012,0.1829203378956514,0.00017980071971941404,-0.9247950598294503,5.273619563013157
2,2,gradients/conv2d_4/kernel.gradient,0.003848321256187682,0.05761188604080869,0.06090280183566021,-3.7535731767087004,1.7795527029573104,0.2467849303252941,0.0,-0.3059418837860023,23.33194385007513
3,3,gradients/conv2d_4/bias.gradient,0.01625849128583132,0.037883803515507984,0.006678543683075059,-0.1656479630467651,0.30577477592483876,0.08172235730248578,0.0820809525115426,1.389181594591019,2.7699552587611858
4,4,gradients/batch_normalization/gamma.gradient,-0.02815513277902424,0.06172513943456749,0.019593578503869277,-0.5331226409605301,0.36801994084518624,0.1399770642064955,0.0,-0.15598854620556832,2.9464837014886287
5,5,gradients/batch_normalization/beta.gradient,0.05830716770789643,0.06308367194140477,0.0053762854002895434,-0.08180969919090267,0.2331350497961175,0.07332315732624688,0.0,0.4517352573727855,-0.10938787206433419
6,6,gradients/batch_normalization_4/gamma.gradient,0.02703982418861029,0.07120434690013773,0.03883275688760617,-0.353905855049405,1.0988490031424654,0.19706028744423928,0.0,2.6275386365284477,10.315664848177148
7,7,gradients/batch_normalization_4/beta.gradient,-0.052919869936467266,0.07580557623672367,0.00514300964279501,-0.19474835418380976,0.13273721517643916,0.07171477980719916,0.0,0.9167536705691397,0.35451834118215736
8,8,gradients/conv2d_8/kernel.gradient,0.0062630543112198525,0.11163612277584532,0.09172039951437876,-3.151135966348901,4.223357869505047,0.30285375928718256,0.0,0.4430792956525924,11.796576583628994
9,9,gradients/conv2d_8/bias.gradient,-0.0027822958006162115,0.042202511937262314,0.013799574157228,-0.3988777208406267,0.5383828186403601,0.11747158872352098,0.08469515794663035,1.1956515602673676,5.491461017198887
10,10,gradients/batch_normalization_8/gamma.gradient,-0.038454009416986276,0.08835642882179062,0.061348713752152166,-0.7427723118598751,0.6439744797975415,0.24768672502205713,0.08420426193003444,-0.030873772899031843,2.3422360806782434
11,11,gradients/batch_normalization_8/beta.gradient,0.0741158889980042,0.08312733045842449,0.013184376093233837,-0.1477684971356671,0.30765094089330525,0.11482323847215702,0.0,0.6273138787015977,-0.18409693373911323
12,12,gradients/conv2d_1/kernel.gradient,-0.00045623447775484455,0.0010642762963184822,0.0006388559878822738,-0.4131280979425743,0.43010720373879835,0.025275600643354112,0.0,-2.0215723102127217,72.60482675757848
13,13,gradients/conv2d_1/bias.gradient,-0.0019333272187964528,0.0011925819373129905,0.00013857578079393883,-0.07449364123742738,0.03797822708681801,0.011771821473077062,0.05922730373204486,-3.232728629644221,17.05745002614665
14,14,gradients/conv2d_2/kernel.gradient,0.0007659273920129394,0.006618666828702377,0.0005242022512940206,-0.5116382761869152,0.37126178928471404,0.02289546355272358,0.0427438799855284,-1.9578324460249272,81.4689319172451
15,15,gradients/conv2d_2/bias.gradient,-0.001161672722541246,0.0014973603374126695,0.00015149860370238983,-0.06633722461850805,0.05763388384075959,0.012308476904250706,0.09964975070593876,-1.2098016002840726,10.75888496905897
16,16,gradients/conv2d_5/kernel.gradient,0.0014512087428445294,0.0028666169348290768,0.00118500598633839,-0.6714548123107406,0.7471488664609711,0.03442391590650916,0.0,0.2849253873009824,60.280357456465104
17,17,gradients/conv2d_5/bias.gradient,0.00045408489528944154,0.003204999676767557,0.00018644780868680487,-0.04680901508808646,0.06587682315057967,0.013654589290303514,0.0,0.4741592995624081,4.323560507899513
18,18,gradients/conv2d_6/kernel.gradient,-0.0015409710160429865,0.00873259163316695,0.0008435109025063097,-0.7302440203147346,0.5698285306039844,0.029043259157786674,0.019577285620207975,1.3245898186017684,61.47290375996607
19,19,gradients/conv2d_6/bias.gradient,0.0030597597776674578,0.0017806426428256426,0.00020869276926760612,-0.06343560170982925,0.06627811171793074,0.014446202589875005,0.020161361366095698,0.5462527358287961,6.93482226244581
20,20,gradients/batch_normalization_1/gamma.gradient,-0.001861664197973214,0.008944422082057488,0.0003097480941811683,-0.06194928746432801,0.06317326257728902,0.017599661763261356,0.08796117793549699,-0.11234411192480043,1.7501663611962979
21,21,gradients/batch_normalization_1/beta.gradient,-0.0006207866688569943,0.0013307102094574973,8.433688469328856e-06,-0.01052828747945863,0.007608693157744547,0.0029040813468855496,0.0,-0.1267071682883261,1.6595248244786287
22,22,gradients/batch_normalization_2/gamma.gradient,-0.0028466751160812695,0.008583960363269506,0.0006947812771887847,-0.1591521509279951,0.075041335552543,0.026358704011935023,0.04270753658388329,-1.7837507640540697,11.607429079521692
23,23,gradients/batch_normalization_2/beta.gradient,-0.00018026108805921148,0.001602471198506855,9.897199477569022e-06,-0.009890997689819948,0.008393892886069941,0.003145981480805156,0.06987664910209117,0.01551013559621163,1.2612777855937283
24,24,gradients/conv2d_3/kernel.gradient,-0.0047506779323156605,0.01395229047695559,0.000932148437246965,-0.7238724323529048,1.1401684016736395,0.0305311060600005,0.0,0.40340562274196656,117.31959720552913
25,25,gradients/conv2d_3/bias.gradient,-0.0015135860189905896,0.001969783241702903,0.00039576442852744427,-0.07991370535928974,0.14303169956929604,0.019893828905656174,0.0,1.9596264578922158,20.08477277349912
