Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.05389116252949602,0.007771066381691248,-0.24439117794801207,0.1328469627539334,-0.03241926772387419,0.1071047033774058,0.3661372438159376,1.0966517928673782,0.07170533278329086,0.08815365211771609
1,1,parameters/conv2d_4.bias,0.04895144392735511,0.009899977639704096,-0.36979020374981797,0.0696194018314499,-0.07678071727624769,0.12760853950771,0.17786657407136572,0.8563581351552773,0.009697048861457459,0.09949863134588417
2,2,parameters/conv2d_8.bias,0.04995714047736612,0.011471604015851176,-0.39147015506232763,0.030398864008002305,-0.09201011613417658,0.1302956605332593,0.3942890801569006,0.6401732375719005,0.01845451201401116,0.10710557415863678
3,3,parameters/conv2d_1.bias,0.03736248815978488,0.0029523797026093125,-0.23108839168321607,0.11406274167612729,0.0003546160854012649,0.0659617465336979,0.429518363665044,0.38412559844736194,0.01695689693940481,0.05433580497801968
4,4,parameters/conv2d_2.bias,0.04137582401690991,0.003242288299625826,-0.1683942386064156,0.13938114920752898,-0.01587443451020561,0.0696706335057795,0.13754563122719046,-0.11109246755253482,0.0,0.05694109499847986
5,5,parameters/conv2d_5.bias,0.051820511796674976,0.0037977942395594215,-0.19833572479584732,0.09845447789027466,-0.034724237168054194,0.0787271482502795,0.16590114280528434,-0.49175945817376054,0.022087958241486974,0.061626246352990556
6,6,parameters/conv2d_6.bias,0.04714461037735566,0.0034791272643124086,-0.2034779576655245,0.11875106104018798,-0.02678904597030363,0.0702301725486561,0.2099579800726913,-0.06125215608194684,0.05700040988487223,0.058984127223453045
7,7,parameters/conv2d_3.bias,0.03489832082950097,0.0032695271035632846,-0.18391399773492462,0.14430447865892732,-0.016939359929419476,0.0683925964345908,0.4436661397116978,0.2689185084756478,0.06841603354605948,0.057179778799531664
8,8,parameters/conv2d_7.bias,0.031461644625706386,0.0028705417049824516,-0.18549368712323758,0.09176399160803458,-0.02398008819298524,0.0667153770324049,0.28730477370159707,0.6496294475847525,0.04249350941161885,0.05357743652865885
9,9,parameters/conv2d_9.bias,0.058335692515107354,0.005610709225367628,-0.2656338956576697,0.0988318893474811,-0.04738831352298965,0.0862923331846943,0.03170428028411584,0.21054653987408078,0.0,0.07490466758064972
10,10,parameters/conv2d_10.bias,0.039138383572487,0.0042819266529743475,-0.20490053047736276,0.08518346092123905,-0.03061990889379752,0.0737739008552545,0.19269015096528241,0.10141033501698872,0.0,0.06543643215346064
11,11,parameters/conv2d_11.bias,0.04607146561386328,0.003683296095261423,-0.20637722017352056,0.11612303503941385,-0.025418743270824686,0.0707575492688124,0.0854446325846513,-0.1664728662635276,0.0,0.060690164732528785
12,12,parameters/dense.bias,0.027068283804834375,0.001775198424522618,-0.21201536798164075,0.09460743120997712,0.0012902691152449019,0.0497045820542529,0.3143730661362085,0.0937158589149846,0.04237827301330477,0.042133103665913496
13,13,parameters/dense_1.bias,0.07751476020227192,0.01049557654615265,-0.23207587865599547,0.21053096110210895,0.01550293165119466,0.120109769727107,0.08802740510274029,-0.06711037954485234,0.091985642302524,0.10244792114119602
14,14,parameters/dense_2.bias,0.44207850721605707,0.0,-0.44207850721605707,-0.44207850721605707,-0.44207850721605707,0.0,1.6860312260242734,24.0993624851057,0.0,0.0
