Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.06174492340833448,0.007879770111333619,-0.2800072192878296,0.15220724800252688,-0.03714384898394625,0.1071047033774058,0.36506539323772363,1.3575067573907278,0.0,0.08876806921035127
1,1,parameters/conv2d_4.bias,0.04752947117647215,0.01376041169129315,-0.3590483021614595,0.06759705306306608,-0.07455034205131864,0.12760853950771,0.2652110486599771,1.1014925439595658,0.0,0.11730478119536834
2,2,parameters/conv2d_8.bias,0.051484494450311995,0.014321272435174183,-0.4034386843038102,0.031328257189277314,-0.09482316778376851,0.1302956605332593,0.3454401844953618,0.7052350164183325,0.0,0.11967151889724752
3,3,parameters/conv2d_1.bias,0.031120712148049602,0.0031644883608217453,-0.1924827727632401,0.09500742389905499,0.0002953739341353391,0.0659617465336979,0.41200263296070516,0.35695067339632514,0.0,0.056253785302162816
4,4,parameters/conv2d_2.bias,0.0352435969904945,0.0027169332933759597,-0.14343686976578846,0.11872375154956502,-0.013521716742149574,0.0696706335057795,-0.059885610050032234,0.020695153886398865,0.0,0.05212421024222888
5,5,parameters/conv2d_5.bias,0.04880835435136592,0.005367147554514501,-0.18680711557526236,0.09273163999618356,-0.03270583044276308,0.0787271482502795,-0.09378772921371664,-0.7476728747820789,0.05156699373776004,0.07326081868580694
6,6,parameters/conv2d_6.bias,0.04654020183090936,0.002844693165106489,-0.20086930705536832,0.11722863555787405,-0.026445602081256864,0.0702301725486561,0.4550455865299605,-0.6684574756426866,0.03213286653233399,0.05333566503857097
7,7,parameters/conv2d_3.bias,0.03368337967870328,0.003883314303554523,-0.17751126319799587,0.13928069971484336,-0.0163496374167813,0.0683925964345908,0.32450199289120857,0.05483083567440181,0.0,0.062316244299176905
8,8,parameters/conv2d_7.bias,0.034654393190946126,0.0029373791083008244,-0.2043177095311398,0.10107626234380666,-0.026413603448888913,0.0667153770324049,0.22794280218795931,0.4435921008994555,0.0642230644050353,0.05419759319656998
9,9,parameters/conv2d_9.bias,0.05272038463686582,0.004891431430453241,-0.24006436793451444,0.08931847718166709,-0.04282678422952468,0.0862923331846943,0.19284694277687753,0.12882028372085944,0.0665168564175606,0.06993876915168912
10,10,parameters/conv2d_10.bias,0.0402413664834229,0.003913328734040076,-0.21067495861999844,0.08758406853745526,-0.031482827419334475,0.0737739008552545,0.230476003339337,-0.4870349765936014,0.00820557143788779,0.06255660424000165
11,11,parameters/conv2d_11.bias,0.04712102007078574,0.003524537164591195,-0.21107870141259813,0.11876843490575335,-0.025997807881289997,0.0707575492688124,0.1446736517032562,-0.3834195403721661,0.032444963600799306,0.05936781252995002
12,12,parameters/dense.bias,0.023437271731005137,0.0018043508580846159,-0.1835750587795778,0.0819165370449011,0.0011171889610052266,0.0497045820542529,0.5025713094585842,0.2762720310448755,0.0,0.04247765127787415
13,13,parameters/dense_1.bias,0.0821839762459809,0.00804244355125949,-0.24605531190394447,0.2232126044266873,0.016436773631759213,0.120109769727107,0.19192727791877529,-0.25480014533124024,0.0687623620194078,0.08967967189536072
14,14,parameters/dense_2.bias,0.40125436421093735,0.0,-0.40125436421093735,-0.40125436421093735,-0.40125436421093735,0.0,2.074195633496556,24.016801317696366,0.09993513477280128,0.0
