Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.056103972018875,0.006873638083043577,-0.2544260536549128,0.138301753595682,-0.03375042593035827,0.0997437641166913,0.34260233634951287,1.1989979427291193,0.010916828093260052,0.08902584817509704
1,1,parameters/conv2d_4.bias,0.04911932362097319,0.012070042500368909,-0.37105840466745854,0.06985816258928751,-0.07704403787024779,0.1271396992106767,0.48615888727295825,0.8076247887556754,0.08789073358740901,0.11026887865575674
2,2,parameters/conv2d_8.bias,0.05401954852946769,0.009848794301614859,-0.42330367265133345,0.03287083475614387,-0.09949218242313138,0.1214093607109315,0.19165127131621607,0.194817508774759,0.0,0.10650483234882557
3,3,parameters/conv2d_1.bias,0.029434674941679756,0.00258735729191174,-0.18205456935580616,0.08986017499250319,0.00027937136194562657,0.0616792964669696,0.28510450576441615,0.33411205565543967,0.0,0.0543977501022444
4,4,parameters/conv2d_2.bias,0.038512693578916,0.002612000784296188,-0.15674166898170486,0.12973623166786763,-0.014775953024651713,0.0649129688358586,0.3427713596145814,0.2528093764914212,0.02954763004222309,0.054853575175544435
5,5,parameters/conv2d_5.bias,0.05624156606604479,0.004373159457975841,-0.2152566885701477,0.10685409755291378,-0.03768672695558817,0.0806760003798596,0.43253758030551603,-0.32668469084141827,0.0,0.06453240005681898
6,6,parameters/conv2d_6.bias,0.04234879504587456,0.0032927870639684123,-0.18277903362776254,0.10667103419071974,-0.024063913312470875,0.0719308414150463,0.05149517398590421,-0.10753346024876803,0.026396599924401076,0.0560261033902333
7,7,parameters/conv2d_3.bias,0.04003817876605815,0.0038288516351247383,-0.21100102652121305,0.16555777974293961,-0.019434204996573053,0.0719076117478296,0.08549157517966444,0.4564440355337793,0.0,0.05885298509168184
8,8,parameters/conv2d_7.bias,0.03933706048705726,0.0025400008929040785,-0.23192609531836447,0.1147341701733443,-0.029982735834530407,0.0637912518367878,0.3373701489143033,0.44088602497249507,0.05808428763279081,0.05270863319847543
9,9,parameters/conv2d_9.bias,0.052139668906855986,0.005802517590622864,-0.23742005576504388,0.08833463298103798,-0.04235504663809539,0.0871326920742733,0.22829579904688163,-0.030932685434815588,0.08166843599562754,0.07543958874584648
10,10,parameters/conv2d_10.bias,0.046654547779693224,0.003614481934266366,-0.2442497803092887,0.10154215593061218,-0.036500178906207076,0.0739295222358851,0.18890783945687112,-0.22262775447910615,0.05067308670809336,0.059994008091738056
11,11,parameters/conv2d_11.bias,0.03807387229673592,0.0041752755325631975,-0.17055198529385565,0.09596511740815224,-0.021006277363698134,0.0751810789704286,0.048918968268422874,-0.2908007587375937,0.0,0.06081445210864219
12,12,parameters/dense.bias,0.025296745097912108,0.0017118747599308363,-0.1981395924226913,0.08841565608454345,0.0012058248373407465,0.0464938554260978,0.4879344304947941,0.5032069484221458,0.051249990320550526,0.04423202881583753
13,13,parameters/dense_1.bias,0.07837236495244668,0.009923194953666389,-0.2346435106194693,0.21286022525552808,0.01567445237564771,0.1176071695307622,0.11933847452440308,0.26533575885659844,0.0,0.10173497866139349
14,14,parameters/dense_2.bias,0.40655097775847215,0.0,-0.40655097775847215,-0.40655097775847215,-0.40655097775847215,0.0,1.773748204312423,24.22194813175,0.044293567023147754,0.0
