Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004144523590178917,0.0035504757331304222,-0.19727177596608902,0.19727177596608902,-0.003457236788240345,0.05958586856906993,0.7195433265948743,-0.7970345365725685,0.0
1,1,parameters/conv2d_4.weights,0.00451570364025889,0.0031977726994952315,-0.21462121665396883,0.21462121665396883,-0.004900884876007022,0.05654885232695079,0.4947329272065497,-1.150254937705592,0.0
2,2,parameters/conv2d_8.weights,0.004363137851018506,0.0032361413964645718,-0.21189807645851788,0.21189807645851788,-0.004128395904113981,0.056887093408475274,1.056748813505015,-0.7133588332378488,0.09180557347497592
3,3,parameters/conv2d_1.weights,0.04086260673922702,0.2858880258392504,-2.1792170125607466,2.046140246815063,-0.028822041532075706,0.5346849781312828,0.9271304550344169,-0.42048654841827,0.0
4,4,parameters/conv2d_2.weights,0.0031574186377073795,0.002000997988477426,-0.19886239199420766,0.19886239199420766,-0.005581633679283706,0.044732516008799135,1.035774469867317,0.10583958490442355,0.0
5,5,parameters/conv2d_5.weights,0.004262995218690495,0.0026663106352330813,-0.20920823924831497,0.20920823924831497,-0.013847449180963584,0.0516363305748299,0.7438846091325629,-0.5354523327400287,0.0
6,6,parameters/conv2d_6.weights,0.003947832854237086,0.0023926498451703167,-0.21419258684984036,0.21419258684984036,-0.008806814564843947,0.04891472012769083,1.0826536013995645,0.32857722252183197,0.05899367322541982
7,7,parameters/conv2d_3.weights,0.0030014080186979456,0.001873951578520802,-0.18357327026820544,0.18357327026820544,-0.004734134345489929,0.04328916236797478,1.3290846968117491,-0.11475538271072494,0.0
8,8,parameters/conv2d_7.weights,0.0028123011955366807,0.0019417014435667895,-0.1843218745039707,0.1843218745039707,-0.0059729021360109096,0.04406474150119205,1.3508942711534422,0.3981039024183443,0.015982020700548105
9,9,parameters/conv2d_9.weights,0.04331004615798393,0.37738824687354144,-2.568124527933558,2.33172934364324,-0.15407540647375279,0.6143193362360829,1.1342886127397205,-0.7164406210083443,0.0
10,10,parameters/conv2d_10.weights,0.002985423600010327,0.001915763767329393,-0.20383324576027775,0.20383324576027775,-0.00777920227055308,0.04376943873674262,1.207966988103324,0.07697647213098541,0.0
11,11,parameters/conv2d_11.weights,0.03844148118804947,0.3946450092770682,-2.9499950191125377,2.3751523010815436,-0.09311828272930293,0.6282077755624076,1.3182749453382772,0.5223593559026942,0.0
12,12,parameters/dense.weights,0.002725043509657978,0.0015367472481727536,-0.200543809915149,0.200543809915149,-0.000747750080475237,0.03920136793751968,1.3281105173514076,0.7779697295478634,0.0
13,13,parameters/dense_1.weights,0.004596068737884478,0.003034267824189224,-0.1951910535073794,0.1951910535073794,-0.004742024406696093,0.05508418851348613,0.5472518304511363,-0.9816610973333333,0.0
14,14,parameters/dense_2.weights,0.02028382286685568,0.0346681383272283,-0.1923777380543625,0.1923777380543625,-0.09039456456330985,0.18619381925087725,1.4835057531029239,0.9147676779977972,0.0
