Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/classifier.out_proj.bias,1.4987494191232843e-06,3.2755448665588306e-06,1.457194358864451e-12,1.0573086795902632e-06,5.569441625747474e-06,1.2071430565034331e-06,0.0769538761137047,-0.25491297929440715,-2.6728737271512495
1,gradients/classifier.out_proj.weight,5.111499812156514e-07,1.4147952635456693e-07,2.439984327850653e-14,1.1308371752287516e-07,7.398672842440216e-07,1.562044918640515e-07,0.027106002115363154,0.21100915254211175,-0.8035057567904562
2,gradients/classifier.dense.bias,1.8117140077061098e-07,1.3070973894140897e-07,3.179471698137563e-14,9.215628186374305e-08,6.384810856596952e-07,1.7831073153732405e-07,0.0,0.07481328116699136,0.28889818215635943
3,gradients/classifier.dense.weight,2.923819519476485e-07,4.2071281741846113e-07,2.1856772906836617e-14,9.712279532952484e-08,6.001477424869148e-07,1.4784036291499225e-07,0.0,-0.3909464411331953,10.920960288312227
4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,7.943291099215604e-05,2.422698870246271e-05,7.067176763875425e-10,8.993833395520453e-06,8.67969235269283e-05,2.658416213439014e-05,0.0,-2.6518782372543908,9.048956044924337
5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,1.7040346823578549e-09,3.5094872404584377e-09,3.0009452536522806e-18,1.1853321802361306e-09,8.471641350883027e-09,1.7323236573031836e-09,0.006561842025023977,0.1737678926103367,0.2059340947365909
6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,1.7885651568216623e-06,1.7144959145466982e-06,1.0164824967622586e-13,1.0273392166393282e-06,2.1198974696277105e-06,3.1882322637509625e-07,0.00395412740191627,0.48630341434619606,2.4333567186802645
7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,2.1450020516527474e-06,2.2325902653147347e-06,2.1880376838054944e-13,9.755780083489861e-07,2.533533058855759e-06,4.677646506316498e-07,0.07846003751442496,2.2619592814646543,130.4633246007571
8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,3.737148785397924e-07,3.522026382395707e-07,7.489199645238811e-15,9.694670908665705e-08,3.9430474414016636e-07,8.654016203612523e-08,0.0,2.2036531401106756,44.174390250012515
9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,4.471040453547535e-06,6.756547262901813e-06,5.466530449017705e-12,8.759612955105071e-07,7.991374016126769e-06,2.338061258611011e-06,0.0,0.8531427412888497,137.17491019615144
10,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.weight,1.6430913836154272e-07,3.393803300634797e-07,5.049056489261494e-14,9.42223940788119e-08,8.619877104450768e-07,2.247010567234051e-07,0.0967746648004753,1.360681709466588,17.244516068416793
11,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.bias,2.34127003698057e-07,2.494707909530384e-07,1.3245199219771587e-14,1.0723039338387791e-07,5.400133009806412e-07,1.1508778918621902e-07,0.06779790890152955,-0.039559038249097886,0.11131747584880766
12,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.bias,1.4364292960066258e-06,1.070028578024913e-06,5.898071571736986e-14,1.0217533950687271e-06,1.8604647040376151e-06,2.42859456718016e-07,0.09053636614505801,0.047825361820944906,1.2034887233728957
13,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.weight,1.1802234666786923e-06,1.8486422181062173e-06,8.270364752905513e-14,1.0256957490815173e-06,2.106372019048581e-06,2.8758241867168296e-07,0.08616483413906485,0.17103731660549226,8.697279755178135
14,gradients/encoder.roberta.encoder.layer.11.attention.self.value.bias,1.61804634384738e-09,1.5384022542555714e-09,3.123513398640548e-20,1.051902739647414e-09,1.7407591913027102e-09,1.7673464285873742e-10,0.0,-0.2186722963086041,0.3229550369410028
15,gradients/encoder.roberta.encoder.layer.11.attention.self.value.weight,3.891580005183095e-05,4.361855646078971e-05,9.455014862120726e-11,1.0485703240208412e-05,4.546369530232231e-05,9.72369007225175e-06,0.0815797616640516,0.05590809480589132,9.20679447039974
16,gradients/encoder.roberta.encoder.layer.11.attention.self.key.bias,5.311091047130523e-07,4.2950130589314526e-07,4.857253311129556e-14,1.0826457282389702e-07,8.655018826925335e-07,2.203917718774809e-07,0.08241981405817415,2.252244334140379,18.029244957402582
17,gradients/encoder.roberta.encoder.layer.11.attention.self.key.weight,1.099000056073729e-07,1.3331751999800525e-07,1.5638063268620977e-14,8.880922181408824e-08,4.634017040075925e-07,1.2505224215751187e-07,0.0,-0.1227545989304358,43.56163466115761
18,gradients/encoder.roberta.encoder.layer.11.attention.self.query.bias,4.469857618650028e-06,3.657120217201376e-06,5.908234858348899e-12,1.0526695347821088e-06,1.0168317095627413e-05,2.430686087990158e-06,0.0,0.08612116160238908,0.6241555079704945
19,gradients/encoder.roberta.encoder.layer.11.attention.self.query.weight,1.2392878183645643e-05,7.902257149744574e-05,6.7488382914254e-10,9.001617966708218e-06,8.757592601490053e-05,2.59785263081365e-05,0.0,0.007131628524319589,10.346155903124814
