Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,gradients/classifier.out_proj.bias,1.5674207451496883e-06,3.4256273330308814e-06,1.555070590267028e-12,1.1057535951447012e-06,5.824628341276249e-06,1.2470246951311863e-06,0.0,0.03144335541396723,-2.0953686257172057
1,gradients/classifier.out_proj.weight,4.6358773398411704e-07,1.283149279823382e-07,2.3387555948891166e-14,1.0256133480089515e-07,6.710230076423724e-07,1.5292990534519783e-07,0.010045427856537632,0.19702444808159514,-0.9605419829125144
2,gradients/classifier.dense.bias,2.0907695044426597e-07,1.5084275716252573e-07,2.7234489716355735e-14,1.0635097092807352e-07,7.368253363293958e-07,1.6502875421076096e-07,0.06497845402372447,0.3705157519455528,0.8220547166092034
3,gradients/classifier.dense.weight,3.229427475796884e-07,4.646872089541173e-07,2.2320466312354263e-14,1.0727441337402541e-07,6.628773069658356e-07,1.4940035579728137e-07,0.0,-0.35442240475126635,10.898271190656729
4,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.weight,9.217149109538572e-05,2.8112247751785942e-05,6.122711594636023e-10,1.0436165870975783e-05,0.00010071646329012369,2.4744113632611745e-05,0.036834670635607476,-2.9702998178060893,9.373178913113374
5,gradients/encoder.roberta.encoder.layer.11.output.LayerNorm.bias,1.4355076898819075e-09,2.95645151673183e-09,3.0357497927068443e-18,9.985439131080542e-10,7.13665421896633e-09,1.742340320576564e-09,0.0,0.5177326314336248,0.15694537264251313
6,gradients/encoder.roberta.encoder.layer.11.output.dense.bias,1.645809953331806e-06,1.5776525838857256e-06,1.0457461103383137e-13,9.453416341833037e-07,1.9506968154049082e-06,3.233799793336492e-07,0.0,0.46181797917517886,2.232228306751138
7,gradients/encoder.roberta.encoder.layer.11.output.dense.weight,2.1834864564268135e-06,2.2726461279181335e-06,2.4747857193016403e-13,9.93081273174794e-07,2.57898826560969e-06,4.9747218206666e-07,0.0,2.3046286349528127,130.8243835531059
8,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.bias,4.0259116164548695e-07,3.794167088490058e-07,9.427708455694843e-15,1.0443760864273035e-07,4.247719694917456e-07,9.709638744924985e-08,0.0,1.690838476064084,44.40071916946443
9,gradients/encoder.roberta.encoder.layer.11.intermediate.dense.weight,4.451304852202865e-06,6.7267232153154736e-06,6.606254040716885e-12,8.720947183454893e-07,7.956099324829065e-06,2.570263418546217e-06,0.04730817402859744,0.5344775736373798,137.04548434027473
10,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.weight,1.7848013835107262e-07,3.686505137047194e-07,6.458963714847972e-14,1.0234869526217225e-07,9.363306712657581e-07,2.5414491367816063e-07,0.0,1.3837293080226396,17.401459337238236
11,gradients/encoder.roberta.encoder.layer.11.attention.output.LayerNorm.bias,2.01216950921249e-07,2.144039393431971e-07,1.225767329823213e-14,9.215755748797056e-08,4.641063532354302e-07,1.1071437710718573e-07,0.0,0.2191559960069093,-0.11095415003408632
12,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.bias,1.5258872105597523e-06,1.1366677960974432e-06,6.841593652250992e-14,1.085386132276562e-06,1.9763306871288825e-06,2.615644022463874e-07,0.025263594048286587,0.17144524596350405,1.020508970050205
13,gradients/encoder.roberta.encoder.layer.11.attention.output.dense.weight,1.1779352740786756e-06,1.8450581091955103e-06,1.1398466158676052e-13,1.0237071515919914e-06,2.102288228984287e-06,3.3761614532892314e-07,0.0,0.010541218867684651,8.019066903575421
14,gradients/encoder.roberta.encoder.layer.11.attention.self.value.bias,1.4071305354476152e-09,1.3378682236116755e-09,3.620151440427728e-20,9.14784963302938e-10,1.51384750026306e-09,1.9026695562886707e-10,0.0,-0.4056602081140204,0.06329543184306263
15,gradients/encoder.roberta.encoder.layer.11.attention.self.value.weight,3.022664610134222e-05,3.38793669367122e-05,9.16406985569781e-11,8.14444622861004e-06,3.5312521560195846e-05,9.57291484120579e-06,0.0,0.17453318644068155,8.933680251329186
16,gradients/encoder.roberta.encoder.layer.11.attention.self.key.bias,4.5266753602299175e-07,3.6606658807393126e-07,4.4612241530389165e-14,9.227455711807687e-08,7.376725444640288e-07,2.11216101494155e-07,0.0,2.2415393457681265,18.21112474771335
17,gradients/encoder.roberta.encoder.layer.11.attention.self.key.weight,1.2591640912435177e-07,1.5274670186537813e-07,1.661408006516078e-14,1.0175193573609639e-07,5.309360834721124e-07,1.2889561693541327e-07,0.0,-0.15073207697479898,43.33707279180322
18,gradients/encoder.roberta.encoder.layer.11.attention.self.query.bias,4.20057033287866e-06,3.436796425919813e-06,5.6930636413306484e-12,9.892512906185965e-07,9.555725209004615e-06,2.3860141745871184e-06,0.1023654819925442,-0.14594959821444234,0.5400606497493011
19,gradients/encoder.roberta.encoder.layer.11.attention.self.query.weight,1.5915045846830942e-05,0.00010148149846062312,5.619788381772458e-10,1.1559958914538039e-05,0.00011246579341382611,2.370609284924966e-05,0.0,0.0023774412382909227,10.114814889608635
20,gradients/encoder.roberta.encoder.layer.10.output.LayerNorm.weight,4.883850530936512e-09,5.697923847893301e-09,5.578208124551551e-18,8.778597832447096e-10,8.536065207598874e-09,2.361823051067025e-09,0.020138956559017374,-1.8289121235107781,18.27617951297852
21,gradients/encoder.roberta.encoder.layer.10.output.LayerNorm.bias,1.1225270454410897e-07,2.6892385425449227e-07,6.653935793418905e-14,8.202073646963396e-08,7.472435297334634e-07,2.579522396378622e-07,0.0,-0.14358461325810803,0.33290327996777525
22,gradients/encoder.roberta.encoder.layer.10.output.dense.bias,1.591741697478492e-07,2.3368630728997365e-07,5.737829713508113e-15,1.0830890430504117e-07,3.786945723367447e-07,7.574846343991483e-08,0.0,-0.18573562739389282,0.475187682320542
