Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,parameters/conv2d.bias,1.2723523079889214,0.009266706609190734,-0.20612594080506208,0.19912107896741857,-0.01083547197936143,0.0940009787609524,0.5817262782169322,-0.22957967594075052,0.0,0.09626373465220806
1,parameters/conv2d_4.bias,0.8764737803984868,0.004517394630249695,-0.2972770954541013,0.07552552078631776,-0.042055239965110285,0.0649698545537963,0.8518984136144739,0.040688304678106885,0.0,0.06721156619399439
2,parameters/conv2d_8.bias,1.0987590015961302,0.006861979849345399,-0.2863615760941339,0.09718573796166742,-0.0751670327491959,0.0799971838020091,1.427833897997042,3.1277881468239883,0.09972568633872697,0.08283706808757416
3,parameters/conv2d_1.bias,0.44396688023205305,0.0017367625633722468,-0.140310813418479,0.0670823477037295,-0.010887604933012385,0.0407820874321419,0.9670225643552873,0.05145384412776932,0.0,0.041674483360591756
4,parameters/conv2d_2.bias,0.499161309818682,0.002570912752644889,-0.22981954726982567,0.08836584918510686,-0.020802045546804628,0.0533447512787921,1.8886942865255847,4.09239493057005,0.0,0.05070416898682874
5,parameters/conv2d_5.bias,0.36929145363337046,0.001096896151047508,-0.10187159346437734,0.07339504065151352,0.004595932137534112,0.0311073940537198,1.2912283467870485,0.8767263278776272,0.0,0.0331194225651279
6,parameters/conv2d_6.bias,0.2909391351409082,0.0009011019378112179,-0.13719899704692146,0.0893148449140137,-0.0012367617962579262,0.0315077205560388,1.8097183934602235,2.2470302382921576,0.0943833477895846,0.030018360012019588
7,parameters/conv2d_3.bias,0.5745552377387152,0.003829407945481619,-0.24850439887615927,0.06147358925018347,-0.030880169710454503,0.058482287166721,1.602360683210714,1.675726367297493,0.0,0.06188221025045578
8,parameters/conv2d_7.bias,0.264116535493007,0.0008442563099700415,-0.1193832220140622,0.08048963906581569,-0.002251381768039571,0.0291372280086127,1.7278681067544535,1.8303007791396622,0.04394097429342907,0.029056089034314968
9,parameters/conv2d_9.bias,0.48964595413096285,0.0024140586567729114,-0.21929129364711664,0.06831681855646907,-0.014381928120067554,0.0501008673163845,1.0177177319290165,-0.3688870348636721,0.0,0.04913307090720981
10,parameters/conv2d_10.bias,0.3253227477629449,0.001684226217993365,-0.17827042699780823,0.07419514560820661,-0.0071348354234410175,0.0406105019834624,1.252318718420665,0.6071640180281749,0.08324083920992792,0.04103932526240362
11,parameters/conv2d_11.bias,0.4015560988459526,0.00194078680338872,-0.1927305265529199,0.06782494719893431,-0.01102410147784485,0.042220820120531,1.938898280507335,3.9493986613473653,0.09794763053818814,0.04405436191103797
12,parameters/dense.bias,0.36419712218272426,0.0008441167742781686,-0.12611245243170133,0.08229726745584566,0.004546106999579671,0.0294783448905195,0.9024184297414225,0.3060466952633479,0.029890725904315518,0.029053687791365967
13,parameters/dense_1.bias,1.2300632097486537,0.007810829951021565,-0.22029260457106892,0.13411027654109894,-0.001856668490487685,0.0875716299649864,1.156735851939181,0.4621112488601059,0.07282094747265562,0.08837889991972943
14,parameters/dense_2.bias,8.56918994153626,0.0,-0.47654547047293794,-0.47654547047293794,-0.47654547047293794,0.0,7.840298371148258,58.74304406157898,0.032024757501363244,0.0
