Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.5712267045447698,0.6202139022868074,-2.5267027649892415,2.5267027649892415,-0.010154965337786127,0.9675056732901834,0.5810966037239562,-1.0945188974207278,0.08854585176020527
1,parameters/conv2d_4.weights,0.46998787091231975,0.47878783088636084,-2.463177506992465,2.463177506992465,-0.013310806249949413,1.0023718897040361,0.701997989643035,-1.200061609579048,0.03165940284207112
2,parameters/conv2d_8.weights,0.41195466775816236,0.44834683649102763,-2.445902826959751,2.445902826959751,-0.023752925382166157,1.067712805573146,0.8747046749220202,-0.7608876853853261,0.0
3,parameters/conv2d_1.weights,0.42398610613884635,0.3258173668854354,-2.5065978776145177,2.5065978776145177,-0.06392939485498784,0.95872687562815,0.9153925454766761,-0.1508938183181733,0.0027886972954845658
4,parameters/conv2d_2.weights,0.01191748418060707,0.0004141745156612296,-0.10584582108407493,0.1334796058033436,-0.002012870374095124,1.0017808313110084,1.795724774978158,1.2923295686832394,0.07897030357401691
5,parameters/conv2d_5.weights,0.32841803436611544,0.29391775402163894,-2.4243873453748326,2.4243873453748326,-0.07064647488259904,0.9675760883154133,1.2698132229450716,-0.3493368049296253,0.0
6,parameters/conv2d_6.weights,0.27992732473271564,0.21202054759722858,-2.4744517193508013,2.4744517193508013,-0.047003695686018775,0.9396426826768409,1.3551672918587538,0.35337393972178094,0.0
7,parameters/conv2d_3.weights,0.2819920620617778,0.173625004506584,-2.6260086604211743,2.6260086604211743,-0.062136888931201,0.9477298017038365,2.0614049061669455,2.2365469119847146,0.00889576296810568
8,parameters/conv2d_7.weights,0.2568266549490794,0.18623942973545973,-2.3743494076853127,2.3743494076853127,-0.042700660243579866,1.0242444695558273,1.7365983269158205,1.314613287188578,0.0
9,parameters/conv2d_9.weights,0.01695820330882934,0.0005462154817812785,-0.13905047162497747,0.10131868580589948,-0.003727025476885827,0.9277063675696803,1.377505595421737,0.10124982322074787,0.0
10,parameters/conv2d_10.weights,0.25514429857459414,0.2235109937558813,-2.302634208401374,2.302634208401374,-0.0831313712097282,1.0238652312648377,1.4313975700023105,0.9276307646569122,0.0
11,parameters/conv2d_11.weights,0.2812669117475279,0.2182998234285473,-2.7008527395988575,2.7008527395988575,-0.09656468720401773,1.015902787972633,1.7240463157280825,2.3273393058630876,0.0
12,parameters/dense.weights,0.35440520264671393,0.2915207212951203,-2.3294294171126557,2.3294294171126557,-0.007608538389654955,1.0558321124554972,0.9563186690520503,-0.7771890899124003,0.0
13,parameters/dense_1.weights,0.6593496716050048,0.5215572255703879,-2.7259029798746672,2.7259029798746672,-0.0014182527555163642,0.9275957415715077,0.2692442082695548,-1.730280445694611,0.0
14,parameters/dense_2.weights,1.2875090323012321,2.3436905508151527,-2.4026415664350846,2.4026415664350846,0.17012850044566089,1.0324394937063708,1.208148087402661,0.6487726096124745,0.0
