layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.038540367966223364,0.24261347115846285,4.085029023010996e-06,0.21600880471177275,0.281922822403654,0.007128944437666469,0.08427593443327493,0.9008135031020686,-412.9326298874922,0.2383266809872842,0.0019548019647391
fc1.bias,0.4405943546784749,0.44604091891515707,7.346949772086689e-06,0.39746616753283587,0.5005210987370339,0.09682541836606343,0.0,0.25755833973724984,-463.67934092724414,0.4097705259044536,0.0027700542766182
convs_code_file.2.bias,0.4657549773255833,0.32147826203877894,3.0169460818389983e-05,0.2864541907304164,0.35736834008834395,0.020559160037907993,0.067199095659187,0.7556692890197636,-458.6352465019483,0.3461558150265539,0.0053049616210182
convs_code_file.1.bias,0.7146943026412457,0.41353535497345667,3.5400982146603324e-05,0.36954525277273104,0.4917096288918174,0.09753011286061967,0.0,-16.525587718231957,-70.63360427235753,0.4349843431797053,0.0059799392651341
convs_code_file.0.bias,0.23088796128258124,0.3405447457294969,4.9014278538022855e-05,0.2966727400661686,0.4011216948782715,0.11141942234750812,0.08091630976143521,0.7714312271620656,-459.5227873442536,0.3160206154463859,0.0067053542064219
convs_code_line.2.bias,0.03665156191628472,0.017041615676326973,7.319821231773979e-05,0.013579578422642161,0.019950878446889767,0.014383371046404232,0.0,0.32587379257585963,-464.27485980407556,0.0173136476193149,0.0091108064534786
convs_code_line.1.bias,0.01577568942572728,0.3133287722592985,1.5101131969435005e-05,0.26692402763158,0.36432939811923176,0.01077240886660932,0.0,0.11893145982878894,-464.5320639956715,0.3265243656762272,0.0037914584472993
convs_code_line.0.bias,0.03845948795027798,0.2800958116110293,3.8227328133074984e-05,0.23638124035772254,0.3192752354438303,0.00801383069334874,0.014669404303264636,-0.015308616440732031,-464.12697589010173,0.284018907608646,0.0058959665664753
convs_msg.2.bias,0.04487059947659934,0.24054870393531053,7.540824651047523e-05,0.19412589169761532,0.28589156649818936,0.012927516230250909,0.05445167077706245,0.5433096060514873,-463.13778885459976,0.2494751458780799,0.0088126382255566
convs_msg.1.bias,0.7628588121954748,0.3294292967279511,7.969388882207591e-05,0.2771572630343108,0.37392781192544233,0.16708934643327963,0.07787818620802256,-1.1540127621531726,-451.7847751281848,0.3161266902987295,0.009163767620762
convs_msg.0.bias,0.02127606008386568,0.152654972746921,7.939410826941337e-05,0.13711685482531835,0.18138874865724613,0.0074862333496749514,0.0,2.3776990689558595,1836.9297394263679,0.1459328323181198,0.0087503159090506
