layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.03819801252802079,0.25790280419718503,3.2101464491131477e-06,0.22962153008421304,0.2996894035517002,0.006413526972854304,0.044494916254686115,0.7406707072405228,-413.29837667753236,0.2556165139203373,0.0019261757938527
fc1.bias,0.43949072100059877,0.4190606591604999,7.8716165986724e-06,0.3734241122213952,0.4702454251744917,0.1012386685716478,0.0,0.47605646837208154,-463.9864523055296,0.3859509596110461,0.0027422665550632
convs_code_file.2.bias,0.5443696286937653,0.3416260467535049,3.626878591702268e-05,0.30440693605405283,0.3797654388355381,0.021029962326793696,0.0059089995007985535,0.45392343513051875,-458.4581309833223,0.3147274426038587,0.0056863272979777
convs_code_file.1.bias,0.807607686233469,0.4244201349965419,3.380529746124513e-05,0.37927215698208167,0.5046520558967922,0.09974465340052138,0.0,-16.237970801671985,-70.72466920115178,0.3950725318550053,0.0057138732164001
convs_code_file.0.bias,0.2339152301012293,0.3528941573671639,4.744815421992424e-05,0.30743119056260326,0.415667850674154,0.1005800397580659,0.04875003527652583,0.9109000940455027,-459.64229995639926,0.3232425232587315,0.0073083473087547
convs_code_line.2.bias,0.03780474396736601,0.017490396652231253,8.450603693621238e-05,0.013937188673491134,0.020476273155325977,0.01514857324651221,0.02319635367705514,0.342930847828025,-464.6970437931765,0.0172275552649387,0.0092947861865739
convs_code_line.1.bias,0.01555068344053398,0.3104509730936487,1.5467657724111506e-05,0.2644724374425553,0.36098317865024043,0.010604047716577435,0.0,0.18265006320692592,-464.20561155971484,0.3282065243188485,0.0038981179972183
convs_code_line.0.bias,0.03742765884834947,0.2793776786816293,3.825621323503749e-05,0.23577518648059767,0.31845665105017096,0.00792050702386133,0.0,0.019735452690822927,-464.21127835470105,0.2911006519233041,0.0059676893702099
convs_msg.2.bias,0.04329527499795137,0.2681447254371127,7.069548523087685e-05,0.21639623526506419,0.3186893728766832,0.013446300802671425,0.0,0.5655290949546177,-463.5795581278582,0.2882138798642819,0.0082036028995539
convs_msg.1.bias,0.7745132168727941,0.3327251393631206,9.705900849494596e-05,0.27993013943974376,0.3776688490379892,0.17583951960061966,0.09610560359769892,-1.1763464772184182,-451.86355243572206,0.3144849705770602,0.0096097425922014
convs_msg.0.bias,0.021981779268374337,0.16095497420615676,7.358952862641534e-05,0.14457203348512332,0.19125103385800415,0.0071682797755398195,0.0,2.4568328288961574,1836.9178913448507,0.148927474150918,0.0087980417434848
