layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.03867278878164678,0.28434404885607184,4.565562678371682e-06,0.25316326347018475,0.33041478036818406,0.006924679600147846,0.08209142108679686,0.6141342959007017,-413.32090379275496,0.278363483194406,0.0021275407861021
fc1.bias,0.4007823933682936,0.3839962699980654,6.5065748245661854e-06,0.34217830542149563,0.43089821319042054,0.09716464820069337,0.0,0.3097067465195244,-463.8447882681874,0.3878138499119798,0.0025977183200957
convs_code_file.2.bias,0.5044614724466785,0.30313438167576123,3.23625306911147e-05,0.2701088199083918,0.33697653494874774,0.019769611935965978,0.09710254464540095,0.35364707704088166,-458.84450285919934,0.3013593833128782,0.0057138249667645
convs_code_file.1.bias,0.7014917038480045,0.41513310235765855,3.621542056635043e-05,0.37097303870169895,0.49360941270449576,0.10234641150543085,0.08706988001930784,-16.500246992295075,-71.0273789376159,0.4448833228391444,0.0057637082708212
convs_code_file.0.bias,0.194980052128756,0.2756469242951957,4.9882257761417944e-05,0.24013563370736865,0.3246796870244428,0.10829052777035778,0.0,1.3025870507309651,-460.29899418992204,0.3029043347030835,0.0069599144317806
convs_code_line.2.bias,0.04021384205207887,0.01978945472016251,9.018846620902341e-05,0.015769188639025458,0.023167815373318516,0.01601399886451639,0.0,0.3424910318504512,-464.2342787590693,0.0183243489848103,0.0090832857052044
convs_code_line.1.bias,0.015162217000438795,0.34056377274604943,1.5395175633950787e-05,0.29012545905472265,0.3959974484663715,0.009834891861799163,0.0,0.008301754623273094,-464.8687799494347,0.3692660710551884,0.0041931182759709
convs_code_line.0.bias,0.035193738020720663,0.23767479127477956,3.795315990654467e-05,0.20058087138166592,0.270920420076465,0.007857481478139474,0.029668018486309435,-0.15397614865465292,-464.45940620867685,0.2633673052431833,0.0059916827078261
convs_msg.2.bias,0.045654740488471415,0.2530205969600418,6.581345801460136e-05,0.20419086945461168,0.30071438190191374,0.013872497335031549,0.09494149074301732,0.8357802827660276,-463.1819150816256,0.2579028451862961,0.0076721011093292
convs_msg.1.bias,0.7119850416830137,0.35965644027561183,0.00010127517975926763,0.3025881292572785,0.4082379651504211,0.1761713689154492,0.010131352779550849,-1.2273603888351614,-451.98215673357294,0.3697941910643325,0.0097977533094893
convs_msg.0.bias,0.022239352897894214,0.16110424682371605,7.671087535256214e-05,0.14470611226069785,0.1914284036011619,0.007413467083524132,0.0,2.664805672918991,1837.3303962167702,0.1473391316838994,0.0086856047174147
