layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis,Mean,StdDev
fc2.bias,0.03579607625394649,0.23609967861685777,4.471698899087003e-06,0.2102093058861962,0.27435363521420186,0.007222809436021809,0.07430038853278968,0.9353403957928981,-413.4816418707956,0.2497086470297279,0.0020186477551621
fc1.bias,0.41637284827926996,0.43850697526548393,8.267173519638361e-06,0.39075268546906694,0.49206694667733325,0.10084966945185365,0.0,-0.11578093037008157,-463.4618554517217,0.4262840155782907,0.0028211629586272
convs_code_file.2.bias,0.5400676930352614,0.34922591737405995,3.513357748603223e-05,0.3111788240643357,0.3882137648011251,0.020525850387508517,0.06991368433317678,0.7274915984580158,-458.38555585054826,0.3242916698299564,0.0057340815779997
convs_code_file.1.bias,0.8184534391578637,0.5084860776522724,2.739954161981807e-05,0.4543955283085402,0.6046097329576647,0.09126620567780887,0.06387287442590475,-16.49981140953096,-70.31815316013933,0.467053239299625,0.0056219826062548
convs_code_file.0.bias,0.21886663950054402,0.35325710856881215,4.968207502542865e-05,0.30774738315947514,0.4160953645412418,0.10705335998110528,0.01898795498769746,1.0266558037771794,-460.18997503374356,0.3458229886374933,0.007026206021791
convs_code_line.2.bias,0.03488156740437742,0.01524803051503151,7.76832383381785e-05,0.01215036356308322,0.017851101042165363,0.015186947157519686,0.0,0.12810403059342465,-463.92679683802294,0.0162775131538098,0.0088891543313083
convs_code_line.1.bias,0.01623140890696369,0.3516826150099389,1.6620950104191045e-05,0.2995975740420483,0.40892610829092535,0.010313024027271682,0.010574441402176967,0.017207839715485174,-464.9813238628001,0.3562036345530939,0.0041548588196209
convs_code_line.0.bias,0.039934544127080356,0.2670216829006331,3.702552326535135e-05,0.22534759175232408,0.30437231526724623,0.007781648359677438,0.0,-0.1341366714879078,-464.6115289379732,0.2607605770095785,0.0059756782211693
convs_msg.2.bias,0.04269194738247861,0.2279729308164826,8.132101295918526e-05,0.18397708137130442,0.27094528984797545,0.013426250783849368,0.0,0.3994785599373284,-463.24117896373,0.2484983176159057,0.0088116704697355
convs_msg.1.bias,0.7380182912419853,0.3175812788029871,9.420054290144998e-05,0.26718922360041586,0.36047939230296455,0.1821782079465553,0.005016312993009564,-1.1275358917840739,-452.01570297516895,0.3150147434210496,0.0091377778424079
convs_msg.0.bias,0.019252477260886754,0.14034179951103232,6.248924083495916e-05,0.12605698853571265,0.1667579047019659,0.0073432170191743106,0.0,2.4187216431338796,1836.971123067268,0.1482633078716984,0.0079142399956132
