Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
28,parameters/encoder.roberta.encoder.layer.2.output.dense.weight,2.8635783710867124e-09,8.652348874211536e-19,9.152301754526286e-10,3.668375131021314e-09,-3.7825709321953616e-05,0.0529898501126537,3.516125519429764,15.813903004302688,0.08836678558035123,3.0761653286281754e-09,9.301800295755405e-10
29,parameters/encoder.roberta.encoder.layer.2.output.LayerNorm.weight,1.1438357723023158e-07,7.751534988182834e-15,9.065814410841088e-08,3.584382576768533e-07,0.6014426031130518,0.1366549772009035,0.2006846681349109,0.26575140755614046,0.03379290910716766,2.068798992733546e-07,8.804280202369093e-08
30,parameters/encoder.roberta.encoder.layer.3.attention.self.query.weight,4.4892133472851515e-06,5.43705407454076e-12,9.893257024458356e-07,9.297702720383186e-06,4.245785264334211e-05,0.0730500181582212,1.5730586018858388,2.6858735242296676,0.0,6.327999638790349e-06,2.331749144856873e-06
31,parameters/encoder.roberta.encoder.layer.3.attention.self.key.weight,5.22030536568553e-08,4.627913327430384e-16,9.808295861294405e-09,8.394155940384307e-08,-0.0001044009550747,0.0706972257171937,1.5978635969137005,3.7280297843349715,0.09447627593499314,3.826308524326118e-08,2.1512585449988072e-08
32,parameters/encoder.roberta.encoder.layer.3.attention.self.value.weight,1.1535031026302121e-07,4.289841239249009e-17,9.643952882888855e-08,1.1917711287818903e-07,0.0003005280908609,0.0468599119080456,2.1579661801035215,5.4670157795660845,0.0,9.698959109366908e-08,6.549687961459699e-09
33,parameters/encoder.roberta.encoder.layer.3.attention.output.dense.weight,2.8193474718398992e-08,4.6448213175705116e-17,9.284354227928535e-09,3.095098086310105e-08,-3.604736994115997e-05,0.0434356040770066,2.552105320606831,8.862608825470163,0.0,1.8593567970801274e-08,6.815292596485137e-09
34,parameters/encoder.roberta.encoder.layer.3.attention.output.LayerNorm.weight,1.293041377609794e-06,1.3396709681662004e-12,9.575586116775546e-07,5.1197976354153e-06,0.7534604913671498,0.1650337278590578,0.4774584882477323,-0.5978726491028661,0.0,1.5131341617546336e-06,1.1574415614475748e-06
35,parameters/encoder.roberta.encoder.layer.3.intermediate.dense.weight,5.114187850362245e-07,3.9835844932871005e-14,9.827007293491857e-08,7.753131486832144e-07,-0.0102338210180238,0.0642531832515033,2.0578035155321186,6.348115451016838,0.0,2.0585774753530365e-07,1.995891904209018e-07
36,parameters/encoder.roberta.encoder.layer.3.output.dense.weight,1.253510197568916e-07,2.9861895674977144e-16,1.0666977662865917e-07,1.7287140244211302e-07,-4.967977173481456e-05,0.0523298965353802,4.146644155042359,20.03573329778725,0.0995447896757993,1.1044689192920546e-07,1.728059480312444e-08
37,parameters/encoder.roberta.encoder.layer.3.output.LayerNorm.weight,1.9612133745192297e-05,5.2193996261270395e-11,9.335734248286766e-06,3.218538759656816e-05,0.6169147743106195,0.1365309746571016,-0.18441923001501082,-1.1705068253927968,0.020034172937909968,2.6687721297824465e-05,7.2245412491915625e-06
38,parameters/encoder.roberta.encoder.layer.4.attention.self.query.weight,1.119993581385487e-07,2.280817058895133e-16,1.038456551355165e-07,1.6240202176795742e-07,0.0009779158548642,0.0744540422819801,1.524225970807166,2.1918672073925434,0.040805818828881193,1.5692333898292786e-07,1.5102374180555626e-08
39,parameters/encoder.roberta.encoder.layer.4.attention.self.key.weight,1.300609443623091e-07,3.33675069410243e-17,1.0936651864422957e-07,1.308472590171725e-07,8.675807320597683e-05,0.0716491439088896,1.8601053784216601,4.0967245856835905,0.04769681302860862,1.2362521255520468e-07,5.776461454993386e-09
40,parameters/encoder.roberta.encoder.layer.4.attention.self.value.weight,3.213926242647392e-09,4.396236520458619e-19,9.74617364849799e-10,3.25660607090301e-09,-0.000289280431894,0.0484593440954667,1.497492591213172,2.5492961712416493,0.06127684546782197,2.642342553082733e-09,6.630412144398431e-10
41,parameters/encoder.roberta.encoder.layer.4.attention.output.dense.weight,3.853100957204473e-08,1.2834221502740974e-16,1.0881883416126685e-08,5.6318016513992675e-08,1.189333337647505e-05,0.0435317783055219,2.657395702750552,8.80379679181283,0.0,5.50460469451003e-08,1.1328822314230625e-08
42,parameters/encoder.roberta.encoder.layer.4.attention.output.LayerNorm.weight,2.3353076435682774e-08,4.8544855398757044e-17,1.0298433353928935e-08,3.3559504276768953e-08,0.7836652314290401,0.1593648459824354,0.08020820765893011,-0.4416242096502093,0.0,3.008467380347822e-08,6.96741382427921e-09
43,parameters/encoder.roberta.encoder.layer.4.intermediate.dense.weight,1.3787857521175369e-06,3.222566392033737e-14,1.0358841902268195e-06,1.6667534666636457e-06,-0.0095247338429308,0.0609355466553567,2.3851282693150657,6.756672682130819,0.0,1.4824356058527543e-06,1.7951507992460515e-07
44,parameters/encoder.roberta.encoder.layer.4.output.dense.weight,6.553959938611639e-07,5.766758650583901e-14,9.790448576921582e-08,9.311973027438819e-07,0.0001100690043082,0.0503631681559557,5.175914714567075,32.746724166315204,0.0,8.061828574294249e-07,2.4014076394031694e-07
45,parameters/encoder.roberta.encoder.layer.4.output.LayerNorm.weight,1.5228645061252082e-07,2.931899318229887e-16,1.048837030014673e-07,1.6366660848211883e-07,0.6545842338042951,0.127847026424967,-0.3508012493433174,-0.6978618478883697,0.08988501656444972,1.350100977627173e-07,1.712278983761083e-08
46,parameters/encoder.roberta.encoder.layer.5.attention.self.query.weight,1.616783096581245e-06,4.510057466088799e-13,9.141575357214683e-07,3.041939201688773e-06,-0.0001046638364969,0.070590131225837,1.499937847592002,2.935309781565383,0.07514690419676986,1.2646166948230388e-06,6.715696141196978e-07
47,parameters/encoder.roberta.encoder.layer.5.attention.self.key.weight,2.8763821127479396e-08,5.963022637292823e-16,9.951614391142902e-09,8.873094940445716e-08,6.835768378252172e-05,0.0680477883751661,1.762537795655699,4.184235262986379,0.0,7.853520379320577e-08,2.44193010491554e-08
48,parameters/encoder.roberta.encoder.layer.5.attention.self.value.weight,1.523149272047127e-06,2.743579954456988e-14,9.932062255850165e-07,1.5760606793748403e-06,0.00013218339069,0.0513206696595444,1.3824622741769859,2.661598354692984,0.03598085390258521,1.2636106948129296e-06,1.6563755475305076e-07
49,parameters/encoder.roberta.encoder.layer.5.attention.output.dense.weight,6.716358479385767e-08,3.9273979061163417e-16,9.966850997473851e-09,8.371086835376672e-08,4.277791706319392e-06,0.0449579236140381,2.5299392739628916,8.12090450123788,0.0,3.8020550633792604e-08,1.9817663601232973e-08
50,parameters/encoder.roberta.encoder.layer.5.attention.output.LayerNorm.weight,5.109144262349259e-07,4.469810819724505e-14,9.241995094131288e-08,7.51900049537708e-07,0.7931175937216413,0.1546967895656804,0.3824069665600668,-0.42847585678881506,0.002833687879157654,4.7333128082124233e-07,2.1141927111132768e-07
51,parameters/encoder.roberta.encoder.layer.5.intermediate.dense.weight,2.093729974526865e-05,1.8605233471700376e-11,9.840366554237173e-06,2.3829366755621924e-05,-0.0074673674207461,0.057875513398602,2.522715957043155,7.252833181032316,0.03842971370737727,1.957529945844402e-05,4.313378428992798e-06
52,parameters/encoder.roberta.encoder.layer.5.output.dense.weight,2.5738328319747362e-05,5.943339067096243e-10,9.23122667385757e-06,9.094321355302151e-05,0.0002828327920922,0.04813011779609,4.9764233758915175,30.57663006187345,0.08924865668686509,2.0729045207524828e-05,2.4378964430623883e-05
53,parameters/encoder.roberta.encoder.layer.5.output.LayerNorm.weight,1.290539235911058e-07,1.1876489902991479e-14,9.697755694331798e-08,4.812909613479549e-07,0.6496561733268508,0.1307489597277522,0.3391372909066912,0.020072259003566573,0.0,3.334448356813432e-07,1.0897930951786894e-07
54,parameters/encoder.roberta.encoder.layer.6.attention.self.query.weight,3.309126962196173e-07,1.0981817820409358e-14,9.424280161170465e-08,4.4858148743011677e-07,4.152887706254679e-05,0.0699959691787186,1.7100493978776856,3.456859988012759,0.09356614677734308,4.4295115875943555e-07,1.0479416882827669e-07
55,parameters/encoder.roberta.encoder.layer.6.attention.self.key.weight,1.6845405377830893e-06,1.7949429643482087e-13,9.269470493158491e-07,2.28038304043062e-06,-3.5722235319720105e-05,0.0676760636402337,1.8141152857141876,4.313575507423888,0.0,9.440105206097399e-07,4.236676721615904e-07
56,parameters/encoder.roberta.encoder.layer.6.attention.self.value.weight,6.265503694422847e-06,3.172267924964994e-12,9.422119619169783e-07,7.145234651607769e-06,-1.1008299063884234e-06,0.0503627604184106,1.7627736730772823,3.5824923963042195,0.0,2.104732503473343e-06,1.7810861643853712e-06
57,parameters/encoder.roberta.encoder.layer.6.attention.output.dense.weight,3.1954024769639366e-06,1.492397976852629e-12,1.0840989663817116e-06,5.681232656409475e-06,2.2622199139802563e-05,0.044944080396327,2.34464142961461,7.971069090906155,0.07875501177350366,4.861273629816416e-06,1.2216374162789174e-06
58,parameters/encoder.roberta.encoder.layer.6.attention.output.LayerNorm.weight,2.111608832760231e-06,2.169103476532781e-13,9.214120420937554e-07,2.362366261411785e-06,0.7852141991800935,0.1454492201969891,0.3337726228742514,-0.5635702898195972,0.0,1.9473916489029875e-06,4.657363499376853e-07
59,parameters/encoder.roberta.encoder.layer.6.intermediate.dense.weight,3.525082047960284e-08,1.5231916819679655e-16,9.686408059225092e-09,4.8946958223168784e-08,-0.0092098278112727,0.060007831934991,2.220172288415373,6.543235191021198,0.0,3.9085742025655186e-08,1.2341765197766345e-08
60,parameters/encoder.roberta.encoder.layer.6.output.dense.weight,2.108946776020174e-06,6.6150484314222295e-12,9.982528422554184e-07,9.794801427414911e-06,0.0002538515967199,0.0502949086527184,5.56446280171529,39.12491812758888,0.06833652459833679,6.5765149716707966e-06,2.5719736451647844e-06
61,parameters/encoder.roberta.encoder.layer.6.output.LayerNorm.weight,1.4583483303192863e-07,1.836100576228894e-15,1.0742380031423075e-07,2.765016575869343e-07,0.6689121995780923,0.1337270935841199,-0.1341755396457835,-0.6123701007749719,0.04103543339102636,2.521100224384379e-07,4.2849744179270124e-08
62,parameters/encoder.roberta.encoder.layer.7.attention.self.query.weight,1.8081730097873463e-07,1.534541038560447e-14,9.127031747086099e-08,5.123817761233147e-07,6.062533815187235e-07,0.0751172360038982,1.538174151829339,2.4554034263291054,0.0,2.198401418767892e-07,1.2387659337261612e-07
63,parameters/encoder.roberta.encoder.layer.7.attention.self.key.weight,7.245637372029897e-07,5.215939827493833e-14,1.0088480705667191e-07,8.919064719568136e-07,-1.999826519573251e-05,0.0729838416881349,1.7052590629968025,3.458422797075238,0.06190951388904056,7.068586420129819e-07,2.2838432142977405e-07
64,parameters/encoder.roberta.encoder.layer.7.attention.self.value.weight,3.0211893109118144e-05,1.812205467516392e-10,9.281879161448948e-06,5.609935908678875e-05,-0.0001384314175444,0.0443234555441302,1.5154155979597739,3.2427949710028043,0.04844346402940598,1.4478126408275218e-05,1.3461818107211198e-05
65,parameters/encoder.roberta.encoder.layer.7.attention.output.dense.weight,4.5182089365967295e-07,7.290620043272029e-14,9.583219121252406e-08,9.383124339371325e-07,1.953889443484899e-05,0.039087298509953,2.648114795859937,9.157030990425078,0.084050935852912,1.8911210355269115e-07,2.7001148203867245e-07
66,parameters/encoder.roberta.encoder.layer.7.attention.output.LayerNorm.weight,7.566534524405898e-05,4.669483598731801e-10,9.416069040865812e-06,8.215590944540328e-05,0.8051789876384037,0.1374376907114736,-0.1513376808645829,-0.4616860016436102,0.0,3.06719764879606e-05,2.1608987941900014e-05
67,parameters/encoder.roberta.encoder.layer.7.intermediate.dense.weight,6.562379496386938e-09,3.1006867594463627e-18,1.0214975441594703e-09,7.70213124846532e-09,-0.0076559522379477,0.0605365332846163,2.461967355224997,7.439884474049614,0.012755041533594481,3.0574279834201995e-09,1.7608767019432003e-09
68,parameters/encoder.roberta.encoder.layer.7.output.dense.weight,2.0597670500065992e-08,2.267240898780264e-16,9.460951527729935e-09,5.550065023562416e-08,-0.0006588076272084,0.0546666985913124,4.939488884998926,29.82586598699442,0.08569761916649699,1.3905369450454225e-08,1.5057359990317907e-08
69,parameters/encoder.roberta.encoder.layer.7.output.LayerNorm.weight,3.150285613678128e-07,5.545418893394647e-15,1.0542609219567948e-07,3.874556768714524e-07,0.7001070789507743,0.1177841863660798,-0.10705123792702052,-0.7359046914114149,0.04005192260000628,1.9001215465032122e-07,7.446756940705563e-08
70,parameters/encoder.roberta.encoder.layer.8.attention.self.query.weight,2.046311598365629e-06,2.245035362604232e-12,1.028567741660633e-06,6.520084877688176e-06,0.0003352391902891,0.0678050763640417,1.2055144433646159,2.1402742495365983,0.0,5.928662200714717e-06,1.4983442069845741e-06
71,parameters/encoder.roberta.encoder.layer.8.attention.self.key.weight,5.939741515567036e-06,1.9492025829349563e-12,1.0822454367229721e-06,6.758905776563552e-06,-0.0001140602235522,0.0664901459710272,2.019339269172089,4.068476615750344,0.029200233765565888,6.733006105675597e-06,1.3961384540707116e-06
72,parameters/encoder.roberta.encoder.layer.8.attention.self.value.weight,2.0077756360580427e-06,8.239041440682029e-14,1.0344478759216664e-06,2.104477628055887e-06,-0.0001314638711713,0.0460467139593692,1.3059923334212433,2.9855883124865845,0.0,1.134877963137193e-06,2.8703730490446763e-07
73,parameters/encoder.roberta.encoder.layer.8.attention.output.dense.weight,2.664722312291279e-06,1.5728672754977929e-12,1.0762094724255178e-06,6.088135459502734e-06,-1.44235682614567e-05,0.0397228802413713,2.6165636011432865,8.693468476998099,0.0,3.2334797957636363e-06,1.2541400541796729e-06
74,parameters/encoder.roberta.encoder.layer.8.attention.output.LayerNorm.weight,3.3873818334067766e-07,1.4395600887384196e-14,9.625479669621142e-08,4.803518749852995e-07,0.8202462571013406,0.1274096201927007,-0.06020039008095986,-0.7270414186308525,0.0,3.2943613014183827e-07,1.1998166896398883e-07
75,parameters/encoder.roberta.encoder.layer.8.intermediate.dense.weight,1.555838430711992e-08,8.03363619315161e-18,1.0675123429695535e-08,2.068863713942864e-08,-0.0097034938058252,0.0590996329857824,2.7104608456892665,8.11459134565961,0.07076876434321598,1.4525432880614541e-08,2.8343669827937965e-09
76,parameters/encoder.roberta.encoder.layer.8.output.dense.weight,1.2518598712946179e-07,1.6191087870495417e-14,9.46088609802338e-08,5.256841581563655e-07,-0.0003363722775243,0.0532158063514446,4.918920746703094,29.43238380571625,0.03076111779933313,3.679554447463689e-07,1.2724420564605455e-07
77,parameters/encoder.roberta.encoder.layer.8.output.LayerNorm.weight,2.3463360329295296e-07,1.32229881219927e-15,1.054845048166358e-07,2.3841785815190803e-07,0.7290809151600112,0.1044567410021125,-0.39840877644103695,-0.882863289066749,0.0,1.4228235900251628e-07,3.636342684895457e-08
78,parameters/encoder.roberta.encoder.layer.9.attention.self.query.weight,2.5023275420444126e-08,5.000048269201841e-17,1.0856370213691193e-08,3.8281178317387395e-08,4.886740605817174e-06,0.0666368758297405,1.5194652952777747,2.521588766573166,0.0,1.6533101956254334e-08,7.071101943263046e-09
79,parameters/encoder.roberta.encoder.layer.9.attention.self.key.weight,1.834903603492287e-08,7.072006822713745e-18,1.030671412148118e-08,2.0327229211723238e-08,0.0001054728302025,0.0656923598400198,1.5789176106338316,3.52280799410173,0.015315731550516954,1.3702272371669362e-08,2.659324504966204e-09
80,parameters/encoder.roberta.encoder.layer.9.attention.self.value.weight,3.523938222541018e-08,9.875809200956986e-17,1.0995599835609546e-08,5.028436653506919e-08,0.0001962945288293,0.0437032204800367,1.3478263040789906,2.3584687249301295,0.08129934885602458,1.4417367231459059e-08,9.937710602023479e-09
81,parameters/encoder.roberta.encoder.layer.9.attention.output.dense.weight,5.379933624204782e-07,1.7098165477472095e-14,9.944402014634869e-08,5.41166324852887e-07,1.94073869581012e-05,0.0385479078635893,2.1840864802078395,6.483576573540024,0.06705859264244418,4.096473807782251e-07,1.307599536458777e-07
82,parameters/encoder.roberta.encoder.layer.9.attention.output.LayerNorm.weight,3.587815424302421e-07,1.1062441623519749e-14,9.853002654875053e-08,4.6301128367084253e-07,0.8358774468845995,0.1157458946614363,0.07410593906333807,-0.8114861620392122,0.052368855308161315,4.293372257384059e-07,1.0517814232776575e-07
83,parameters/encoder.roberta.encoder.layer.9.intermediate.dense.weight,5.866720555625858e-06,5.199925910078756e-12,1.0286166373189603e-06,8.630900581039234e-06,-0.0096372394535785,0.0541424680423519,2.7568003574359072,8.80805521347902,0.0,1.0405150113863279e-06,2.2803346048505153e-06
84,parameters/encoder.roberta.encoder.layer.9.output.dense.weight,3.1108290928463537e-09,3.3975358255436084e-18,9.225857175162656e-10,6.623528149327331e-09,0.0004309104168227,0.0507270085497045,5.751194710434274,37.40410560249058,0.05202150131890962,1.5752731512840116e-09,1.84324057722903e-09
85,parameters/encoder.roberta.encoder.layer.9.output.LayerNorm.weight,1.6654728168645734e-08,3.244991211456867e-16,1.0800274975130965e-08,8.381664021964788e-08,0.720347707373245,0.0826859826398183,0.21324927441804004,-0.1644152574541265,0.010778283678648215,1.5984996543851274e-08,1.801385914083062e-08
86,parameters/encoder.roberta.encoder.layer.10.attention.self.query.weight,1.0603732731113428e-07,9.898722911729982e-15,1.0264987106744651e-07,4.370092346335909e-07,-0.000357493490526,0.0667074052340103,1.446525930058485,2.451709779878189,0.0,3.011459153901072e-07,9.949232589365865e-08
87,parameters/encoder.roberta.encoder.layer.10.attention.self.key.weight,7.552117424900525e-07,4.025424416708716e-14,1.0976648574947088e-07,8.249782884318497e-07,-4.626497788395336e-05,0.0645173706528137,1.5632137166902516,3.080081181612527,0.0,1.9599128807408704e-07,2.006346036133527e-07
88,parameters/encoder.roberta.encoder.layer.10.attention.self.value.weight,2.8387450274341666e-08,1.379187691086581e-16,9.97457922175285e-09,4.7861106679185714e-08,-0.0002295881824952,0.0456764156255555,1.372630305093911,1.9417124625301632,0.0,2.1152647093352465e-08,1.1743882199198786e-08
89,parameters/encoder.roberta.encoder.layer.10.attention.output.dense.weight,2.865449163481026e-08,8.205544235220193e-17,9.505216985304013e-09,3.8862138372911164e-08,-2.1322360426338786e-05,0.0413487074960215,2.4225733597664054,6.573782172877583,0.0,3.0911505737220496e-08,9.058445912638766e-09
90,parameters/encoder.roberta.encoder.layer.10.attention.output.LayerNorm.weight,2.9549268205139303e-07,4.7589650225577405e-15,9.998246904345456e-08,3.4778207661473746e-07,0.8036215130705383,0.0807299328178243,0.5930182909310082,0.31643710467498726,0.01975451814393119,1.758868338344823e-07,6.898525221058296e-08
91,parameters/encoder.roberta.encoder.layer.10.intermediate.dense.weight,3.7244647540372935e-06,5.467030392079346e-12,1.0258647910878162e-06,9.48895912356756e-06,-0.0074943658209432,0.0499153099567255,2.598016806267125,9.473669009063697,0.07755089692927919,4.673333368196425e-06,2.338168170187796e-06
92,parameters/encoder.roberta.encoder.layer.10.output.dense.weight,2.1957020684469242e-07,3.3633908114301087e-14,1.0796021933223847e-07,7.768434304046615e-07,1.2296286298535408e-05,0.0467527333033312,4.489279808955718,24.91863111214781,0.0,3.584923571187037e-07,1.8339549643952845e-07
