Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,0,gradients/conv2d/kernel.gradient,0.005814168004139196,0.13002238875715807,0.0805134131884123,-1.4635498789849968,1.8884995886791085,0.2837488558363052,0.0,0.7908404085304995,4.808562418071252
1,1,gradients/conv2d/bias.gradient,-0.039627752866531946,0.0509564062380025,0.03131821286684792,-0.8345842368198102,0.4346910944754377,0.17696952524897613,0.09877453133827918,-1.0230700961973964,5.425439360082342
2,2,gradients/conv2d_4/kernel.gradient,0.004217132788085354,0.06313323587927668,0.06319775169191812,-4.113304337709369,1.9500996803997572,0.251391630115082,0.0,-0.3997096669395519,23.590571976921545
3,3,gradients/conv2d_4/bias.gradient,0.017084873504677807,0.039809351283570105,0.00579533745662967,-0.17406747312574028,0.32131661393143557,0.07612711380730096,0.03536984345285978,1.4987203385230474,2.8178815583049417
4,4,gradients/batch_normalization/gamma.gradient,-0.03045243914316543,0.06676157654759639,0.017620680507847954,-0.576622561403414,0.39804837505183926,0.1327429113280556,0.05683931537157843,-0.08780349928499873,2.669709954905678
5,5,gradients/batch_normalization/beta.gradient,0.06380224314086538,0.06902890216838661,0.006290511999106711,-0.08951973701086056,0.2551065283477183,0.07931274802392563,0.03930815259974068,0.4406236901994403,0.05888009858698576
6,6,gradients/batch_normalization_4/gamma.gradient,0.023058545380273278,0.06072038977831574,0.041045516367980046,-0.3017976064518389,0.9370571135481495,0.2025969307960515,0.07677139550984219,2.4811823452115527,10.07739661334882
7,7,gradients/batch_normalization_4/beta.gradient,-0.06113744877972454,0.0875769260195499,0.006053860456542388,-0.22498954632999899,0.15334910504798127,0.07780655792760946,0.0,0.8001970389645153,0.5532288871453455
8,8,gradients/conv2d_8/kernel.gradient,0.005809172342643566,0.10354588107397258,0.08719474597552064,-2.922773936485007,3.9172921883598115,0.29528756488467417,0.0,0.3601993422453438,12.081749786989972
9,9,gradients/conv2d_8/bias.gradient,-0.002948300363885583,0.04472050788918952,0.013561089958725667,-0.4226766001083759,0.5705052136281008,0.11645209297700805,0.048166350761318144,1.3230143818189275,5.271536629043952
10,10,gradients/batch_normalization_8/gamma.gradient,-0.040356246014241384,0.09272723007387887,0.06221428559528374,-0.7795156501091114,0.6758305031808429,0.24942791663180716,0.0,-0.2863306000250718,2.176336737546304
11,11,gradients/batch_normalization_8/beta.gradient,0.07112993042771883,0.07977832165392967,0.01307171766416959,-0.1418152445145953,0.2952563926252347,0.11433161270693941,0.01781085547701764,0.593170038612413,-0.6504406184367904
12,12,gradients/conv2d_1/kernel.gradient,-0.000496544152003558,0.0011583082752832058,0.0006594283733680008,-0.44962919521388617,0.46810845555136343,0.025679337479149484,0.007144551687461931,-2.2618945789050025,72.75479458483339
13,13,gradients/conv2d_1/bias.gradient,-0.0017359349284384348,0.0010708195797787287,0.0001522988122794729,-0.06688785659941963,0.03410065832581398,0.012340940494125159,0.0,-3.237723220924376,17.23971784563113
14,14,gradients/conv2d_2/kernel.gradient,0.0008050359106241455,0.006956618255366207,0.0005426067003288967,-0.5377627042399118,0.39021854516951415,0.023293919814599103,0.04132248781867829,-1.960391188268705,81.58370813636704
15,15,gradients/conv2d_2/bias.gradient,-0.0011383403589229455,0.0014672856397958517,0.00014935346560311402,-0.06500483192632021,0.05647629899916515,0.012221025554477663,0.0,-1.5301706367204304,10.23469177516185
16,16,gradients/conv2d_5/kernel.gradient,0.0014746935725251302,0.0029130072358839257,0.0012969844329578822,-0.6823209278734326,0.759239934655955,0.036013670084537465,0.0,0.2860407878357741,60.07151353470826
17,17,gradients/conv2d_5/bias.gradient,0.0004065368868627162,0.002869398662024579,0.0002357250836305005,-0.041907562811334634,0.05897874797833008,0.015353341122719336,0.09549769651814098,0.294206417505171,4.114224424133566
18,18,gradients/conv2d_6/kernel.gradient,-0.0016113596950462481,0.009131480115126827,0.0008485444436033254,-0.7636002037892141,0.5958572340059342,0.02912978619220154,0.0,1.6032549124527757,61.356439616609606
19,19,gradients/conv2d_6/bias.gradient,0.003057610076531678,0.001779391613401817,0.00018004270386714452,-0.06339103364078022,0.06623154658132188,0.013417999249785165,0.0,0.5508909351615268,6.9036667376306315
20,20,gradients/batch_normalization_1/gamma.gradient,-0.0017928993198522963,0.008614039140276503,0.0003309765201770863,-0.05966104707876332,0.06083981183662514,0.018192760103324736,0.0,0.17042057774251465,1.8238439028576536
21,21,gradients/batch_normalization_1/beta.gradient,-0.0005654161483296407,0.0012120186835837372,7.568838391106153e-06,-0.009589226144471209,0.006930042468526413,0.0027511521933738805,0.044164402736288966,-0.1636563300081441,1.7967311070487195
22,22,gradients/batch_normalization_2/gamma.gradient,-0.0029421016738468983,0.008871712830994392,0.0007672059625291603,-0.16448726691585722,0.07755687949412648,0.02769848303660647,0.0,-1.6135505141091542,11.802489924633413
23,23,gradients/batch_normalization_2/beta.gradient,-0.00016415309986983663,0.0014592756402348282,8.193699458030003e-06,-0.009007145962949091,0.007643821259811481,0.0028624638789039743,0.0,0.17940997165575506,0.826312453387874
24,24,gradients/conv2d_3/kernel.gradient,-0.005413292251518164,0.01589832588230607,0.0011131632952760394,-0.8248365991069286,1.299196633015546,0.03336410189524184,0.07269149579114319,0.16300527391291716,117.19571012670733
25,25,gradients/conv2d_3/bias.gradient,-0.0013901463145264902,0.0018091386148608168,0.00031143550891289467,-0.07339638553179788,0.1313668252230026,0.017647535491194095,0.013531566535262374,2.173729251147686,20.65474592989141
