Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.5859399192727557,0.7122439028733926,-2.5917836164958414,2.5917836164958414,-0.01041652906437901,1.0368051410108052,0.3613074159348672,-1.0797901665478176,0.02302065463898728
1,parameters/conv2d_4.weights,0.5045072573618942,0.4123404479916388,-2.644091486948417,2.644091486948417,-0.01428845034107349,0.9302191937188834,0.7613247955369643,-1.1662793064685257,0.056463484868541206
2,parameters/conv2d_8.weights,0.41497502922668916,0.34634383475611824,-2.4638356512059536,2.4638356512059536,-0.02392707663278678,0.9384283668386902,1.019377213634005,-0.6749284189871058,0.0025412554970856596
3,parameters/conv2d_1.weights,0.4516644817740189,0.34354141270828514,-2.6702319133020476,2.6702319133020476,-0.06810279058495584,0.9844583247043438,1.218878901303727,-0.12948387358164384,0.0
4,parameters/conv2d_2.weights,0.011086976916652308,0.0004300072397643208,-0.09846962305961048,0.12417766081818582,-0.0018725971887691769,1.02074888604394,1.7454446482453434,0.9255266905889865,0.0011225330203126882
5,parameters/conv2d_5.weights,0.3601019819682879,0.3213341871699814,-2.6582787690491942,2.6582787690491942,-0.07746205433997795,1.0116975156915866,0.9512602236467198,-0.2464570911805476,0.09871337707546085
6,parameters/conv2d_6.weights,0.25748950427656114,0.21943770929672426,-2.276109869518064,2.276109869518064,-0.0432360731947681,0.9559372623512236,1.3451114981229757,0.651656442991517,0.025650607058769315
7,parameters/conv2d_3.weights,0.26593559221781954,0.18925109747325108,-2.4764852002296296,2.4764852002296296,-0.05859884932814778,0.9894585501740578,1.685038506574499,2.331149490148321,0.0
8,parameters/conv2d_7.weights,0.254174928797032,0.19255732835467168,-2.349834333812993,2.349834333812993,-0.04225977743295399,1.0414725718783022,1.6684383881074638,1.4996425870575314,0.030941415027188637
9,parameters/conv2d_9.weights,0.016345178924671223,0.0007214054170223462,-0.1340239173265975,0.09765610293442671,-0.003592296729028442,1.0661498111270704,1.3250317892952628,-0.028863289960615754,0.017904397888968738
10,parameters/conv2d_10.weights,0.29263418501244,0.22483941441078253,-2.6409741025833657,2.6409741025833657,-0.09534636360221528,1.0269033564452077,1.6931158634858214,0.8790568057915346,0.0
11,parameters/conv2d_11.weights,0.23434414997583888,0.19399694237190448,-2.2502790518045104,2.2502790518045104,-0.08045514276780975,0.957685479017038,1.7390674285337262,1.8683271132349728,0.03972169073860397
12,parameters/dense.weights,0.3691538016840179,0.25037123741793843,-2.4263687966762864,2.4263687966762864,-0.007925168284281012,0.9784809382762307,0.8953859356574633,-0.6164798913750846,0.046214562750046075
13,parameters/dense_1.weights,0.6299995768156145,0.6014157336559267,-2.6045629469733815,2.6045629469733815,-0.0013551210750100363,0.9960821459163451,0.16347255991439077,-1.7663449618194351,0.006073786737284537
14,parameters/dense_2.weights,1.3912246607670586,2.3445726404563914,-2.5961869892547913,2.5961869892547913,0.183833246510341,1.032633763915908,1.1876689391505681,0.5097846361179437,0.0
