Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.05297372044565907,0.008779596507619414,-0.2402306673736619,0.13058537869043002,-0.03186736275205659,0.1071047033774058,0.3902047234514941,1.0611975883915257,0.0,0.09369950110656664
1,1,parameters/conv2d_4.bias,0.052036974261254566,0.01132722115418382,-0.39309899301744794,0.07400768456520665,-0.081620395398225,0.12760853950771,0.24430906239385447,1.0031714410072694,0.07851431032853146,0.10642941865003255
2,2,parameters/conv2d_8.bias,0.05217347712288745,0.013458412173828796,-0.4088376353064311,0.031747502373596505,-0.09609212303445623,0.1302956605332593,0.1515554194597218,0.6418898421392383,0.0,0.11601039683506333
3,3,parameters/conv2d_1.bias,0.03303429594444234,0.003406776038293573,-0.20431836037101123,0.10084934249157781,0.00031353620405864515,0.0659617465336979,0.16201153534143944,0.16210090045251369,0.03825924346324543,0.05836759407662492
4,4,parameters/conv2d_2.bias,0.03611482438121628,0.0034710444240455885,-0.14698265227524815,0.1216586217986807,-0.013855975756588954,0.0696706335057795,0.2514239408439044,0.26964674741254935,0.0,0.05891557030230359
5,5,parameters/conv2d_5.bias,0.05120414121506007,0.004831510418760743,-0.19597665303432,0.09728342724457814,-0.03431121542208254,0.0787271482502795,0.07835920329354189,-0.33553094257042826,0.09034086860026769,0.06950906716940473
6,6,parameters/conv2d_6.bias,0.039167617842103444,0.0036079872288670204,-0.1690489500569289,0.09865806801535111,-0.02225626867039233,0.0702301725486561,0.3153010595300595,-0.38315329986509894,0.06953986054498533,0.06006652336257783
7,7,parameters/conv2d_3.bias,0.039949417313202916,0.0030319220029847356,-0.21053325405390344,0.16519075133369693,-0.019391120912237967,0.0683925964345908,0.30613053666472956,0.6569868121884244,0.06797265587459447,0.05506289134239879
8,8,parameters/conv2d_7.bias,0.03497249333507124,0.0030002769527341685,-0.20619318582330992,0.10200406314072237,-0.026656059607842814,0.0667153770324049,0.13591289723169503,0.3388941725752267,0.017881470180851934,0.05477478391316743
9,9,parameters/conv2d_9.bias,0.058061432916097666,0.00461525624455627,-0.26438504366731086,0.09836724080774206,-0.047165521964267786,0.0862923331846943,0.29008833636846854,0.34029115421136746,0.005289996765808925,0.06793567725839109
10,10,parameters/conv2d_10.bias,0.041039853394947826,0.0035384331306648003,-0.21485526390643583,0.08932195018752467,-0.032107523542476694,0.0737739008552545,0.18588676359043763,-0.19094416065805314,0.0,0.059484730231084436
11,11,parameters/conv2d_11.bias,0.04118610371076517,0.0037589627109236375,-0.18449323198974496,0.10380949033457657,-0.022723370802305874,0.0707575492688124,0.032060027740215255,-0.38252290297311875,0.0,0.06131038012379059
12,12,parameters/dense.bias,0.029045730833000934,0.0017250121991532771,-0.22750394355457962,0.10151888466737101,0.001384528464890868,0.0497045820542529,0.16181327915488472,0.2108246559677171,0.08937750421465385,0.04153326617487809
13,13,parameters/dense_1.bias,0.07659982586978652,0.009089168982134598,-0.22933660437365225,0.20804598915791628,0.015319945025359277,0.120109769727107,0.32020367407163236,0.3200251041783107,0.0,0.09533713328045194
14,14,parameters/dense_2.bias,0.43340454307063153,0.0,-0.43340454307063153,-0.43340454307063153,-0.43340454307063153,0.0,1.6974876834780686,24.264626968771594,0.016285142051253778,0.0
