Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.047231046552752565,3.710891634863123,-6.4738669418486,5.433401270770613,-0.0584953554733066,1.0067751207384406,0.46512801729127073,-1.4022107337362335,0.03455437279558682
1,parameters/conv2d_4.weights,0.029655229493305426,1.7435771708767547,-4.7869954260327505,4.872020849751608,0.025015328606375155,1.0273363306900947,0.6727565034837445,-0.9551629406854549,0.0
2,parameters/conv2d_8.weights,0.03976940953876585,2.416978739817375,-6.2490355214857445,6.290879559505007,0.051492208963962345,1.0326248887229397,0.9059114404166942,-0.6102565317452098,0.0
3,parameters/conv2d_1.weights,0.023535021454432672,1.306912952369902,-6.3822648497763295,4.9317175311831845,-0.19452217151368661,1.0313886584013767,1.2489215349071863,0.7664267422002473,0.0
4,parameters/conv2d_2.weights,0.02559253026774405,1.293910553396986,-6.806301151874684,6.314038722954705,-0.20025167550894388,1.0716252786936689,1.6111924438930334,1.6294156235856643,0.0
5,parameters/conv2d_5.weights,0.020541488785793555,0.835531405282035,-3.683936243082998,4.530439229198259,-0.04929676454552122,1.0692035006819385,1.0531154199340014,-0.19267637169588836,0.028839036036656385
6,parameters/conv2d_6.weights,0.016739359999373402,0.6252988027616304,-4.349731998587277,5.094803215480006,-0.042323097979418904,1.0285804937434302,1.4814302535237915,1.1307189926238157,0.06956691174946501
7,parameters/conv2d_3.weights,0.023361572765875735,1.0288431772591018,-7.315888936879869,5.44655949676322,-0.1910865659236554,0.9248004227811247,2.0002915667444956,2.0363008758004524,0.0
8,parameters/conv2d_7.weights,0.015963415105757193,0.5798897115799123,-4.401121984297926,6.09632393985037,-0.05650683569211706,0.9840006857396106,1.910371449269646,2.2906052166761337,0.0
9,parameters/conv2d_9.weights,0.025084252787059304,1.2172715895054516,-5.22775871603367,5.389951103794453,-0.1766192218984003,1.070427889955115,1.3276331133969415,0.21059202322639325,0.0
10,parameters/conv2d_10.weights,0.020975639130030865,0.7943299269535707,-4.6278793676177035,7.059188648346464,-0.10998816085824,0.9875714952356203,1.5385356925681286,1.680976702899728,0.0
11,parameters/conv2d_11.weights,0.021095608774397607,0.8069556976499287,-5.404622127185307,6.310978328122127,-0.08603396013649461,1.007888516751604,1.9625863773749053,2.367870480672442,0.0
12,parameters/dense.weights,0.035188930335956034,1.7858585650250407,-7.447667653707933,7.668409150845764,0.006679883762308671,1.0384161555763989,1.2490450077535906,0.42229449293540605,0.035313069963964085
13,parameters/dense_1.weights,0.06650001127172009,4.5547134313636635,-10.767552769842043,9.019409560451217,0.012792653611292814,0.9381354165569125,0.5136254984231167,-1.5679176171479159,0.0
14,parameters/dense_2.weights,0.11413044141208206,10.35792578359358,-8.334736667000298,5.2357322661697845,-0.9485243977866314,0.9314527505479929,1.2760667003303177,0.46094336711151884,0.05398494531075122
