Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.0590884500279992,0.007667377624626323,-0.2679603710081631,0.14565878247218939,-0.03554579621098372,0.1071047033774058,0.22110047298934543,1.2884150755600536,0.07980912719267085,0.08756356333901895
1,1,parameters/conv2d_4.bias,0.047089805532824554,0.010984043497216673,-0.355726969124021,0.06697175467223605,-0.07386072309889143,0.12760853950771,0.26386869489721604,0.6233692327610032,0.0851014669605904,0.10480478756820583
2,2,parameters/conv2d_8.bias,0.05140570254143953,0.012515653322964698,-0.40282126143914565,0.03128031240100769,-0.09467805033676253,0.1302956605332593,0.4140832447341857,0.5313739322959029,0.06961134766757311,0.11187338076130876
3,3,parameters/conv2d_1.bias,0.037430593652603344,0.003427399084391455,-0.23150962671266334,0.11427065875062338,0.00035526249051096536,0.0659617465336979,0.4078796226308077,0.42992216737113687,0.0,0.05854399272676526
4,4,parameters/conv2d_2.bias,0.036497920392467374,0.003591187304537295,-0.1485418033655423,0.12294914261787153,-0.014002956093203909,0.0696706335057795,0.1733870760577434,0.06605037758339183,0.0,0.05992651587183578
5,5,parameters/conv2d_5.bias,0.05671607637770208,0.0038464705895957436,-0.21707281008887971,0.1077556259895891,-0.0380046900174994,0.0787271482502795,0.013158153727244888,-0.5364215457665519,0.0,0.06201992090929982
6,6,parameters/conv2d_6.bias,0.03938964900222717,0.0030248219404515274,-0.17000724511204685,0.09921733524945557,-0.022382433737995717,0.0702301725486561,0.1679033707497648,-0.3652163963972067,0.007743126881307783,0.054998381253011444
7,7,parameters/conv2d_3.bias,0.03718048782131919,0.003509974904935243,-0.19594100777401988,0.15374123407119766,-0.01804710514966428,0.0683925964345908,0.26559101525680895,0.570765049874796,0.0810685962245354,0.05924504118435006
8,8,parameters/conv2d_7.bias,0.03806321706944495,0.002926387399568709,-0.22441568334970582,0.1110187586595983,-0.029011811464180175,0.0667153770324049,0.1854155087568899,0.4537643098893956,0.0,0.05409609412488785
9,9,parameters/conv2d_9.bias,0.04926193667510786,0.005570141507101627,-0.22431618761123837,0.083459200784426,-0.0400173547147849,0.0862923331846943,0.047613043559780355,-0.03521604178023806,0.0,0.07463338064902082
10,10,parameters/conv2d_10.bias,0.03687077542747483,0.0035191508097044983,-0.193028959159982,0.08024808311117755,-0.028845845979867786,0.0737739008552545,0.26615695029103986,-0.1479034449557426,0.0,0.05932243091533411
11,11,parameters/conv2d_11.bias,0.04416765661582679,0.003431088303533805,-0.1978491040495595,0.11132448834588694,-0.024368365742934325,0.0707575492688124,0.25194147902186315,-0.29129319680582555,0.09491401114131202,0.058575492345637685
12,12,parameters/dense.bias,0.027310785807654385,0.001490953617466375,-0.2139147921097041,0.09545500956830578,0.0013018285050783944,0.0497045820542529,0.3862339316158118,0.04888141685665237,0.04953974383630044,0.03861286854749814
13,13,parameters/dense_1.bias,0.0822183396503394,0.009218779478512627,-0.2461581944677207,0.22330593581966923,0.016443646303592137,0.120109769727107,0.1712405025613162,0.3479227941566409,0.09753596281263455,0.09601447535925345
14,14,parameters/dense_2.bias,0.4071078284848576,0.0,-0.4071078284848576,-0.4071078284848576,-0.4071078284848576,0.0,1.7588792870041718,24.285552911135852,0.0,0.0
