Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.05016996342862474,3.358636054603418,-6.876698515489463,5.771490638962323,-0.06213518562546365,1.032781019507067,0.7329686465028205,-1.1470372582722295,0.0
1,parameters/conv2d_4.weights,0.03329604176423711,2.033822648194097,-5.374701270357049,5.470165379302964,0.028086494026694598,1.044375865134142,0.8863907986740579,-0.8136949834782073,0.0
2,parameters/conv2d_8.weights,0.039182782038350156,2.1533615515132882,-6.156857736336479,6.198084544587555,0.050732661709282464,0.922937481214516,0.7082768390411599,-0.578625313748677,0.09949183783156575
3,parameters/conv2d_1.weights,0.019588312476341737,1.0906500661703091,-5.3119899816638885,4.104692414787415,-0.16190174657643994,0.9232556194549812,1.6517078537181213,0.6569477456190955,0.04021896719353311
4,parameters/conv2d_2.weights,0.022023136895308087,1.253617769459867,-5.857025485571208,5.4334189587017105,-0.1723225494747863,1.0270910561288424,1.7521911287029166,1.6175910622988425,0.002703690644402116
5,parameters/conv2d_5.weights,0.022164552426300832,0.8033518085175485,-3.975018502623531,4.888407011627221,-0.05319189536894149,0.9943292966925033,1.2980282185061813,0.25387891013660224,0.0007808100720436954
6,parameters/conv2d_6.weights,0.013955701371156733,0.6508683582656611,-3.626396757051729,4.2475669453736575,-0.03528501188367352,0.9911005051115561,1.6879045028644524,1.067988856722715,0.004581807251863502
7,parameters/conv2d_3.weights,0.019891526757506547,1.2662155959159618,-6.229212476458749,4.637546669138212,-0.16270323822643304,0.9673173237990794,1.695112912918467,1.8876190810719833,0.0
8,parameters/conv2d_7.weights,0.013489488539358508,0.5431025807637029,-3.719059122010448,5.151547546312322,-0.04774970189112742,1.0246938936393326,1.7659420648719806,2.719514380107225,0.0
9,parameters/conv2d_9.weights,0.020091340373762978,1.1511080842453127,-4.187195873337884,4.317104565304836,-0.14146392694386287,1.0515307662372533,1.3385511560598158,0.583823968762389,0.0
10,parameters/conv2d_10.weights,0.020288578236019532,1.03291602733122,-4.4762923329638005,6.8279636337635585,-0.1063854785437008,1.0625513587783635,1.4648792185382387,1.6649798793935238,0.002519499365035641
11,parameters/conv2d_11.weights,0.022034079478802204,0.7763439261434519,-5.64505508121772,6.591731936155622,-0.08986131359358018,0.9812390550698801,1.6271938382496058,2.886555607626578,0.0
12,parameters/dense.weights,0.03167861279672159,1.7440330571618232,-6.704715874793364,6.9034370166193995,0.006013523264646078,0.9793674551235974,1.4142519216138998,0.6066756986012066,0.034721726311365095
13,parameters/dense_1.weights,0.07410483220490931,5.952502211301485,-11.998910616816381,10.05085291389762,0.014255598325342263,1.0380889723599176,0.670330019475509,-1.3065702714967948,0.0
14,parameters/dense_2.weights,0.12208073935574851,12.436582213048688,-8.915332334245646,5.600452063572681,-1.0145983696029028,1.0583772354977774,1.3023940794054971,0.7690301582670904,0.06195671842920517
