Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,0,gradients/conv2d/kernel.gradient,0.006120587441061657,0.1368748545135533,0.07171273764009431,-1.5406821753870574,1.988027669081936,0.2677923405179736,0.08175948752231031,0.6442475324724732,4.631151923916656
1,1,gradients/conv2d/bias.gradient,-0.03613550457678885,0.046465805341820696,0.035697297107858246,-0.7610353938284614,0.3963833651332956,0.18893728353043066,0.0,-0.8738057818146308,5.475358185802591
2,2,gradients/conv2d_4/kernel.gradient,0.004333402635084864,0.0648738715303537,0.04944522358422289,-4.2267115482575175,2.0038655452343854,0.2223628196983996,0.0,-0.14450888891446081,23.01690108971181
3,3,gradients/conv2d_4/bias.gradient,0.015177442063002838,0.035364857837939676,0.007322471101611781,-0.1546338044408631,0.2854433947368341,0.08557143858561671,0.08702406768349304,1.7385054907413953,2.573008597522734
4,4,gradients/batch_normalization/gamma.gradient,-0.029549067141955748,0.06478109351547603,0.015686958332471294,-0.5595170456583948,0.3862402648555319,0.1252475881303564,0.050618057805620356,-0.14988396397885304,2.65770941397364
5,5,gradients/batch_normalization/beta.gradient,0.06105423306224933,0.06605577599701176,0.00564096349484865,-0.08566405533838753,0.24411890038184098,0.07510634789981921,0.0,0.34115642570634797,0.47147738535778294
6,6,gradients/batch_normalization_4/gamma.gradient,0.028156575567882428,0.07414510391306225,0.03634041507915158,-0.3685222537730848,1.1442317368211896,0.19063162140408813,0.0,2.660782975077918,10.135127267232766
7,7,gradients/batch_normalization_4/beta.gradient,-0.0619931374497424,0.08880266547786328,0.005691545078507457,-0.22813853290876018,0.15549540153836508,0.07544232948754646,0.04607497970450888,0.758177102789666,0.48988291383646976
8,8,gradients/conv2d_8/kernel.gradient,0.005978790578147021,0.10656924974088126,0.08638369316704646,-3.0081141069328616,4.03167064879275,0.2939110293388911,0.0,0.5326398678974626,11.839732327581721
9,9,gradients/conv2d_8/bias.gradient,-0.0030527079601879396,0.046304186672846706,0.01735871655701577,-0.4376447656220286,0.5907084055289482,0.13175248216643184,0.0,1.0224796539933552,5.343252019961683
10,10,gradients/batch_normalization_8/gamma.gradient,-0.04656041826445298,0.10698266174758636,0.05508435507005656,-0.8993545807000778,0.7797293854555097,0.23470056469905767,0.012648403671036328,-0.13044095666904207,2.1627495646649413
11,11,gradients/batch_normalization_8/beta.gradient,0.0663927394242918,0.07446515537730103,0.014197038537236945,-0.13237047356622478,0.27559257574199053,0.11915132620846897,0.0,0.522304971773335,-0.4459939322324582
12,12,gradients/conv2d_1/kernel.gradient,-0.00047302042781984427,0.0011034335490831314,0.0006169414621970658,-0.42832806190990824,0.44593186933641454,0.0248383063471959,0.025477083720248036,-2.1657432319600973,73.18444662658952
13,13,gradients/conv2d_1/bias.gradient,-0.0017762990256123574,0.0010957183619080772,0.00017631339967570151,-0.06844313836678673,0.03489356954835441,0.013278305602590681,0.006798562576668625,-3.1987621342135983,17.284430562937988
14,14,gradients/conv2d_2/kernel.gradient,0.0008909848230425764,0.007699335151928072,0.000509695067436453,-0.5951764406443348,0.43187986626121433,0.022576427251373623,0.0,-2.0641975283137355,81.26708420988145
15,15,gradients/conv2d_2/bias.gradient,-0.0013371328231144446,0.0017235229994936744,0.00017156787277266736,-0.07635685913127518,0.06633895787659101,0.0130983919918761,0.0795221107092656,-1.1338924347566566,10.646170915834023
16,16,gradients/conv2d_5/kernel.gradient,0.0013035791074584035,0.0025749996089500927,0.0011663662725356692,-0.60314856098168,0.6711423544559794,0.03415210495029237,0.010921672177980695,0.11358013976663026,60.02060831116371
17,17,gradients/conv2d_5/bias.gradient,0.000413343339235389,0.0029174396294315186,0.0002166860768041179,-0.04260920106250245,0.05996620090595283,0.01472026075870506,0.04079918121606,0.5316242568812157,3.8492367885695353
18,18,gradients/conv2d_6/kernel.gradient,-0.0017022433772343377,0.009646512568303693,0.0007622153532367347,-0.8066686747540098,0.6294646896543248,0.027608247920446482,0.0,1.1864030508685057,60.96150885632357
19,19,gradients/conv2d_6/bias.gradient,0.002671107490724412,0.0015544644832153436,0.00020698699006165342,-0.055377978409439706,0.057859431309930855,0.014387042436229031,0.0857486308366992,0.9766080696826487,7.043787799079593
20,20,gradients/batch_normalization_1/gamma.gradient,-0.001721122108632848,0.008269183352794243,0.0002746275288083251,-0.0572725674076922,0.05840414131324773,0.016571889717481185,0.07041536304331318,0.29109842331538993,1.7366082228802124
21,21,gradients/batch_normalization_1/beta.gradient,-0.0006466219681208195,0.0013860904201152251,8.659423761915769e-06,-0.010966443566587401,0.007925344391733476,0.002942689885447564,0.0,0.057831060221393005,1.2992055042169515
22,22,gradients/batch_normalization_2/gamma.gradient,-0.0024267375204404962,0.007317666343392305,0.0007949129574747498,-0.13567424464209651,0.06397134100079882,0.02819420077737262,0.0,-1.8044590771116302,11.468449527486845
23,23,gradients/batch_normalization_2/beta.gradient,-0.00017847304723663326,0.0015865760103064089,9.631911977384411e-06,-0.009792887177808126,0.008310632414816159,0.0031035321775976514,0.0,0.31920405260426254,1.1917596708033977
24,24,gradients/conv2d_3/kernel.gradient,-0.005636084806608826,0.0165526464843372,0.0012084642756948496,-0.8587840464105274,1.3526671134525938,0.03476297276837724,0.011017057114477237,0.6020026168049712,117.19271674860212
25,25,gradients/conv2d_3/bias.gradient,-0.0013990194619798776,0.0018206861430062836,0.000299318081173347,-0.07386486639929069,0.13220532488200276,0.017300811575573075,0.0,2.1749979716498213,20.038806159048313
