layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.5265016942338513e-07,1.249877195732581e-14,1.0820599668575234e-07,4.994798768338187e-07,-3.1558510518864194e-05,0.0200467691820429,0.7827470285942026,-0.08936824542293473,0.027697014318613246,4.970729120894417e-07,1.1179790676629777e-07
fc1.bias,4.002677642537566e-08,2.100163967734918e-16,1.0227644101221957e-08,6.156407058418311e-08,0.7224649448495858,0.1133428719451089,1.0869177771911605,1.3204685756079257,0.0,2.8055606284632045e-08,1.4491942477580146e-08
convs_code_file.2.bias,8.488676106999052e-05,4.315250068769522e-10,1.0563615355383179e-05,9.216833721018803e-05,0.8051789876384037,0.1374376907114736,-0.07036366393276373,-0.8356074087904946,0.0,3.4410002773129603e-05,2.0773179989519e-05
convs_code_file.1.bias,5.8316823789254506e-08,5.319498034235326e-16,1.095699621665459e-08,9.377239041468064e-08,-0.0001044009550747,0.0706972257171937,1.6295346261453028,3.7920358148044717,0.0,4.2744273437181616e-08,2.3064037014875185e-08
convs_code_file.0.bias,5.307618065574044e-09,4.604329930506195e-18,1.0621680989279664e-09,8.710456837403749e-09,0.563354952842928,0.1337718840011416,-0.0031397823649574885,-0.2846859877202652,0.0,2.6226915455079327e-09,2.1457702417794396e-09
convs_code_line.2.bias,4.346562946976104e-07,5.945249158968157e-14,9.219154255527608e-08,9.02666104040359e-07,1.953889443484899e-05,0.039087298509953,2.54165954723052,8.86056153234363,0.06980533471925254,1.8192776687879e-07,2.4382881615937356e-07
convs_code_line.1.bias,1.3685401382864835e-06,6.48680054570632e-13,1.0508371056626025e-06,3.7863793567326563e-06,6.742295416513179e-06,0.0432375307227778,2.0992184336609157,5.896973459150283,0.09765028744551274,3.5130526822818057e-06,8.054067634249368e-07
convs_code_line.0.bias,2.492861766458803e-07,1.1335039933892344e-14,9.263164421437243e-08,4.22051973861946e-07,0.0005278906998377,0.0197473282303864,0.42746463353082037,-0.030640538939693165,0.0,1.0563041654703176e-07,1.0646614454319432e-07
convs_msg.2.bias,2.375235868115347e-08,2.085146760404453e-16,1.0909967423302958e-08,6.400099231753252e-08,-0.0006588076272084,0.0546666985913124,4.830108454223474,29.87707624621208,0.0,1.6035081383600367e-08,1.4440037258970122e-08
convs_msg.1.bias,2.1124167893942606e-07,1.531260164145807e-14,1.0662749081818548e-07,5.985953006730448e-07,6.062533815187235e-07,0.0751172360038982,1.1846443229737886,2.18210933108963,0.08411545921426143,2.5683051575798143e-07,1.2374409740047433e-07
convs_msg.0.bias,1.2609696148821216e-08,1.1261133247963367e-18,1.0874214501788286e-08,1.4634921752020313e-08,0.3357254763638286,0.0639204642931742,0.7171504759498405,-0.2574155015538889,0.0,1.426547736359565e-08,1.0611848683412033e-09
