layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,mean,std
fc2.bias,4.3275116266976074e-07,1.0760402354740151e-14,1.0344914027813116e-07,4.775221838651476e-07,-3.1558510518864194e-05,0.0200467691820429,0.5867490927773225,-0.41327224773332194,0.0,4.7522103197789406e-07,1.0373235924599495e-07
fc1.bias,3.6410597822022296e-08,1.986376737419403e-16,9.303637946729217e-09,5.6002126938860704e-08,0.7224649448495858,0.1133428719451089,1.1152220777544115,0.8533507471474151,0.0,2.552095093111539e-08,1.4093887815004784e-08
convs_code_file.2.bias,7.259711713922881e-05,5.663966861098276e-10,9.034247645945605e-06,7.882448910330075e-05,0.8051789876384037,0.1374376907114736,-0.0859760834571724,-0.8647399510848738,0.0,2.9428228508122502e-05,2.3799090026928085e-05
convs_code_file.1.bias,5.570410114406582e-08,5.423012899363921e-16,1.046609856005459e-08,8.957117999184799e-08,-0.0001044009550747,0.0706972257171937,1.9471012949992252,3.314263663412767,0.06793648755546809,4.0829235478923685e-08,2.3287363310095717e-08
convs_code_file.0.bias,5.049011489234428e-09,3.894317980366981e-18,1.010415381952614e-09,8.286051502798845e-09,0.563354952842928,0.1337718840011416,0.12132100012179473,-0.4920606576244652,0.0,2.4949044151984142e-09,1.973402640204725e-09
convs_code_line.2.bias,5.098032588374931e-07,7.133770856732748e-14,1.0813037658785702e-07,1.0587264629448574e-06,1.953889443484899e-05,0.039087298509953,2.4356815071474327,8.830516419755217,0.0,2.1338093928297773e-07,2.670911989701786e-07
convs_code_line.1.bias,1.29538627729556e-06,5.024913255036041e-13,9.946657231790772e-07,3.583982465788607e-06,6.742295416513179e-06,0.0432375307227778,2.30692660344339,5.553764236542228,0.05869518622720926,3.325266178704929e-06,7.088662253934829e-07
convs_code_line.0.bias,2.7234410486735954e-07,1.1937235878927086e-14,1.0119968369442238e-07,4.6109001540111463e-07,0.0005278906998377,0.0197473282303864,0.5624095442027849,0.06875012997671946,0.026842876894960878,1.1540078807551926e-07,1.0925765821637899e-07
convs_msg.2.bias,2.0176932291924986e-08,1.9921697103360477e-16,9.267697451106403e-09,5.436696649547876e-08,-0.0006588076272084,0.0546666985913124,4.961847441894838,30.105882769865712,0.0952864583944813,1.3621331494506533e-08,1.4114424218989765e-08
convs_msg.1.bias,2.0874630804651708e-07,1.906750371397946e-14,1.0536791392830515e-07,5.915241710672253e-07,6.062533815187235e-07,0.0751172360038982,1.2380550637873042,2.6703733119592044,0.07006827745037325,2.5379660977573897e-07,1.3808513212500278e-07
convs_msg.0.bias,1.0440483244528237e-08,1.0746453954390797e-18,9.003551946328208e-09,1.2117314607238462e-08,0.3357254763638286,0.0639204642931742,0.4683115036085117,0.14443421412464855,0.0,1.1811424766467536e-08,1.036651048057677e-09
