Unnamed: 0.1,Unnamed: 0,layer_index,mean,median,variance,min,max,std,sparsity,Skewness,Kurtosis
0,0,gradients/conv2d/kernel.gradient,0.005371742783472406,0.12012842215754327,0.07853934125928654,-1.3521820310477264,1.7447954771612473,0.28024871321611194,0.018848276740126298,0.8426356879389659,3.994648818692161
1,1,gradients/conv2d/bias.gradient,-0.03827358324191582,0.049215110996268574,0.033231124758753845,-0.8060646125430767,0.41983672011279544,0.18229406122733116,0.013491173909368296,-0.8644459895361339,5.202782694811439
2,2,gradients/conv2d_4/kernel.gradient,0.0038573460362979458,0.05774699290134507,0.05157858136598329,-3.762375761080606,1.783725969888467,0.22710918379929815,0.0,-0.37792702106542,23.235531427866327
3,3,gradients/conv2d_4/bias.gradient,0.0165641300846453,0.03859597046860502,0.005689466082225759,-0.16876193245275295,0.3115229498222984,0.07542854951691594,0.035642757697638215,1.4236274082953275,2.421664900789842
4,4,gradients/batch_normalization/gamma.gradient,-0.029913683093424664,0.06558044937790905,0.01820677972939039,-0.566421116063927,0.3910062143519875,0.13493250064158196,0.0,-0.30498173190995176,2.3284341716995582
5,5,gradients/batch_normalization/beta.gradient,0.07562232912223832,0.08181728575277988,0.005819700129773211,-0.10610427912738277,0.3023678933254686,0.07628695910687026,0.0,0.2783847904958171,-0.02139206119256845
6,6,gradients/batch_normalization_4/gamma.gradient,0.024914609028653684,0.06560798812089992,0.030377939710936837,-0.3260903602776166,1.0124841457494524,0.17429268404306847,0.06349002039009523,2.640196609363174,9.869622720243456
7,7,gradients/batch_normalization_4/beta.gradient,-0.05383427627609463,0.07711542638513084,0.005380163254541553,-0.19811342537373292,0.1350307913172639,0.07334959614436652,0.03928382013411376,0.827110143155537,0.34106910808453006
8,8,gradients/conv2d_8/kernel.gradient,0.00566177515511952,0.10091859258091859,0.10866210726824485,-2.8486138612460956,3.8178980204444737,0.3296393594039475,0.0,0.33706082240111046,11.677779589577895
9,9,gradients/conv2d_8/bias.gradient,-0.0026781090809856268,0.04062218346250479,0.018505074275497475,-0.383941220825464,0.5182223670567577,0.13603335721615356,0.07573057421430904,0.939178656508546,5.460109483861631
10,10,gradients/batch_normalization_8/gamma.gradient,-0.037550743952242144,0.08628098046275452,0.05259408081515365,-0.7253249614367807,0.6288478410777648,0.22933399402433474,0.0,-0.23829594682259747,2.5706481584130203
11,11,gradients/batch_normalization_8/beta.gradient,0.07995997917088575,0.08968197915248571,0.009217525386777089,-0.15942014745851868,0.33190943478252716,0.09600794439408197,0.018758111602031228,0.5406759109881216,-0.2093468787638137
12,12,gradients/conv2d_1/kernel.gradient,-0.0005130899423890002,0.0011969052980198812,0.0006067268384872561,-0.4646116904969527,0.48370671474341964,0.024631825723793906,0.0,-2.004540434392189,72.74112754584412
13,13,gradients/conv2d_1/bias.gradient,-0.0017382658592649087,0.0010722574253611162,0.0001629217594261196,-0.06697767043075362,0.034146447067312936,0.012764080829666073,0.0,-3.16580907873747,17.4116601854115
14,14,gradients/conv2d_2/kernel.gradient,0.0007905675656438839,0.006831591841654741,0.0005535383375378005,-0.5280978728705862,0.38320542133903673,0.023527395468642062,0.0,-1.7547321203464308,81.57650998195757
15,15,gradients/conv2d_2/bias.gradient,-0.00129134975699505,0.0016645100382679857,0.0001417433203514192,-0.0737424209319856,0.06406752990604757,0.011905600377616687,0.10356597702127836,-1.4113242051118766,10.266105716255145
16,16,gradients/conv2d_5/kernel.gradient,0.0015201821463767188,0.0030028622045693517,0.00151297443774872,-0.7033678806074503,0.782659540248716,0.03889697208972405,0.0,-0.0399181771771058,60.37248531076988
17,17,gradients/conv2d_5/bias.gradient,0.00041995766669916814,0.0029641245502542214,0.00018401676997579228,-0.04329103425550331,0.060925781119058955,0.01356527810167976,0.0,0.09936271998115012,4.177997014449904
18,18,gradients/conv2d_6/kernel.gradient,-0.0017710940337524288,0.010036685167780703,0.0007918849090819697,-0.8392960114745983,0.6549246548492487,0.02814044969580404,0.08538143625520182,1.3568230254273865,61.296271153294846
19,19,gradients/conv2d_6/bias.gradient,0.002940434531659137,0.001711200713769994,0.00014990847448524897,-0.06096172489278108,0.06369338201351765,0.012243711630276098,0.0,0.46885295709309954,7.019569295676361
20,20,gradients/batch_normalization_1/gamma.gradient,-0.0019342568780464945,0.009293195814372083,0.0004264137641675897,-0.0643649029177297,0.0656366050235016,0.020649788477552573,0.09039015982906753,-0.11400683636662196,2.2532344818391
21,21,gradients/batch_normalization_1/beta.gradient,-0.0005438154933335296,0.001165715801166592,9.235667501771363e-06,-0.009222887888590567,0.006665293297649577,0.0030390241035192123,0.0,-0.49011471507371235,1.157067728653539
22,22,gradients/batch_normalization_2/gamma.gradient,-0.0029112666901155372,0.008778731978821858,0.0007195592562633661,-0.16276334206157986,0.07674403704931575,0.026824601698131948,0.05844275911104106,-1.8040749560712654,11.819792442247556
23,23,gradients/batch_normalization_2/beta.gradient,-0.00016610579815033215,0.0014766345876797455,1.0442238895841915e-05,-0.00911429129525548,0.007734749037860375,0.0032314453261414293,0.0,0.2374059245327429,1.206845506563829
24,24,gradients/conv2d_3/kernel.gradient,-0.005668563490968798,0.016648033299641395,0.001054538424708475,-0.8637329030962901,1.3604620366536022,0.0324736573965508,0.03613192143112733,0.388770356646124,116.97709530196325
25,25,gradients/conv2d_3/bias.gradient,-0.0013402376945331174,0.0017441874577769417,0.000447655950303159,-0.07076133030335678,0.12665053249088154,0.021157881517376787,0.05316290758053713,1.9593736859509319,20.5908015538385
