Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity,std
0,0,parameters/conv2d.bias,0.053578225273796146,0.008432711235976938,-0.2429720379451878,0.13207554194946428,-0.032231014284959114,0.1071047033774058,0.41983738815098354,1.2409772462155795,0.04288832261171869,0.09182979492505146
1,1,parameters/conv2d_4.bias,0.04918040685576783,0.012570119348652199,-0.37151984114467285,0.06994503598723346,-0.07713984739505046,0.12760853950771,0.5437138570634579,0.9934088170634705,0.09138415397651763,0.11211654359929353
2,2,parameters/conv2d_8.bias,0.05688415508979545,0.01248539926254029,-0.44575107383659784,0.034613944638569774,-0.10476816058713169,0.1302956605332593,0.37323830573508826,0.3616146310032924,0.02710372192428272,0.11173808331334649
3,3,parameters/conv2d_1.bias,0.03560676757252285,0.0028955518215167462,-0.2202291939493725,0.10870275861119107,0.00033795213199830577,0.0659617465336979,0.15375908770211164,0.10448493728973987,0.03801790813813313,0.05381033192163769
4,4,parameters/conv2d_2.bias,0.03997790995226855,0.0032067438081399054,-0.1627049096287915,0.13467204978890593,-0.015338104520475973,0.0696706335057795,0.36857139763395896,-0.03144967021720352,0.0,0.05662811852904868
5,5,parameters/conv2d_5.bias,0.0543322907183923,0.0043682480402495215,-0.20794920555266422,0.10322663998863016,-0.0364073468859522,0.0787271482502795,-0.1115457904869952,-0.4892251672966138,0.03102611173897565,0.06609272305064749
6,6,parameters/conv2d_6.bias,0.039451187387632036,0.0039008925941765565,-0.17027284715817662,0.09937234233304446,-0.02241740177829457,0.0702301725486561,-0.0318283948515693,-0.07709036172535283,0.05781452641231619,0.062457126048007135
7,7,parameters/conv2d_3.bias,0.03716501321786761,0.002905047321333783,-0.19585945668168947,0.15367724662049925,-0.01803959390352404,0.0683925964345908,0.2636004501744367,0.45625550915986224,0.0,0.05389849090033838
8,8,parameters/conv2d_7.bias,0.03819795197132279,0.0034291318203918796,-0.22521006247485448,0.11141173914591163,-0.029114506503430088,0.0667153770324049,0.2510702388358722,0.62865969449245,0.0,0.05855878943755497
9,9,parameters/conv2d_9.bias,0.05671438471281673,0.00496553458341387,-0.25825120610665253,0.09608508192297513,-0.046071263203713506,0.0862923331846943,0.2640677541469887,-0.1824019876987216,0.0,0.07046654939340989
10,10,parameters/conv2d_10.bias,0.036207292775878176,0.00396321584548881,-0.1895554394367442,0.07880403398688174,-0.028326770420529,0.0737739008552545,0.3562140916947455,-0.3383168766955581,0.0,0.06295407727454126
11,11,parameters/conv2d_11.bias,0.04593454957261284,0.0030475408729605876,-0.20576390449940563,0.1157779384369129,-0.025343203375233533,0.0707575492688124,0.31429683623920596,-0.43794480757064935,0.04083030628038023,0.055204536706330895
12,12,parameters/dense.bias,0.027407609599147138,0.0015048216699893636,-0.2146731753131138,0.0957934222382477,0.0013064438234592995,0.0497045820542529,0.21972056164676868,0.18031310580974683,0.0,0.03879203101139923
13,13,parameters/dense_1.bias,0.07643500568410998,0.01014218641208071,-0.22884313978302054,0.2075983356786439,0.015286981031577796,0.120109769727107,0.3753643111879805,0.04876739940373691,0.09763278927117801,0.10070842274646533
14,14,parameters/dense_2.bias,0.4203111854567508,0.0,-0.4203111854567508,-0.4203111854567508,-0.4203111854567508,0.0,1.8592476026138027,24.024860378241886,0.029165903804855977,0.0
