Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.054601814795040345,4.1711091966893274,-7.484163692450529,6.281325347351721,-0.06762400579788544,1.067380141165398,0.5232499533886116,-1.3992456911497269,0.08665216241495488
1,parameters/conv2d_4.weights,0.029605914065246267,1.7718027322217782,-4.77903484934575,4.863918879278815,0.024973729142828856,1.0356183648371595,0.9595000761523877,-0.8965931056489735,0.0
2,parameters/conv2d_8.weights,0.04007030691737451,2.4948142684484877,-6.296316042596188,6.338476674738834,0.051881801640235876,1.0491202814590066,0.7355563881410717,-0.657303957182668,0.03568513326205978
3,parameters/conv2d_1.weights,0.02378571014001096,1.3728872259479261,-6.450247009439991,4.984248852980763,-0.1965941690934218,1.0571009239337907,1.53631089174901,0.8714555725932014,0.0
4,parameters/conv2d_2.weights,0.021544147076519887,0.998872574496126,-5.729638747282829,5.315245404461874,-0.16857463894149446,0.94155537446055,1.597126608343514,1.5380170802462354,0.05290082363882978
5,parameters/conv2d_5.weights,0.019984132487468175,0.6532045495370611,-3.583979268731096,4.407513921061861,-0.04795918563422479,0.9453738459467272,1.2827392718311217,0.3339652889826309,0.0
6,parameters/conv2d_6.weights,0.014355204832500855,0.5203516297513555,-3.7302079535024646,4.369160095860128,-0.036295099732803635,0.9383026545249887,1.4636579916802668,1.2036669031824438,0.0
7,parameters/conv2d_3.weights,0.021416510500812856,1.2426115931952797,-6.706775002252078,4.9930841482606345,-0.17517688071267257,1.0163449397851372,2.0135703305503347,1.8578633033308374,0.08607944211056562
8,parameters/conv2d_7.weights,0.015512559411722601,0.5273726399870731,-4.2768208310913085,5.924145095740148,-0.054910909729227075,0.9383859501975409,2.0070567650971993,2.389885919708598,0.0
9,parameters/conv2d_9.weights,0.022920494140017386,0.9467306744144219,-4.776814124520777,4.925015855095916,-0.16138411117532417,0.9440106577602543,1.2665291827282865,0.2934016929239009,0.025856930095167985
10,parameters/conv2d_10.weights,0.018170121780436838,0.7481283523042374,-4.008894850521818,6.115013545780038,-0.09527711002327661,0.9584206016219354,1.6247996627619217,1.481381455017567,0.0792491020842012
11,parameters/conv2d_11.weights,0.019805040091458323,0.8006138830526187,-5.073982886807888,5.924890821661176,-0.0807706498519315,1.0039202382017227,1.809801397610748,2.2401951361410912,0.0
12,parameters/dense.weights,0.03128644154734571,1.8655913976727696,-6.621713603885823,6.81797464056245,0.005939077740564006,1.0613440046099283,1.4263476661459091,0.1213856058854193,0.0
13,parameters/dense_1.weights,0.06218995731972772,5.406072451269154,-10.06967719837308,8.434836098323215,0.01196352552244887,1.0220589222126897,0.42497461628102506,-1.31642284717123,0.07441300288011243
14,parameters/dense_2.weights,0.09812576587765735,10.310670959783948,-7.165944586905085,4.501518019134595,-0.8155114607013503,0.9293255895072999,1.0250956196333154,0.3525352966707702,0.0
