Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,parameters/conv2d.weights,0.5805456408910628,0.590146894649134,-2.5679231456990372,2.5679231456990372,-0.010320632444783614,0.9437627567755813,0.5745140619287168,-1.3975928939135445,0.021370767466205365
1,parameters/conv2d_4.weights,0.48033453593554815,0.5340391520032359,-2.517403741614499,2.517403741614499,-0.013603840308870936,1.058629217061074,0.800690954617139,-1.1881138565790927,0.05698463675100432
2,parameters/conv2d_8.weights,0.4625411332696851,0.3730948818570567,-2.7462503862527816,2.7462503862527816,-0.026669694227587047,0.973995706090482,0.8971469371390086,-0.7745361638837831,0.0
3,parameters/conv2d_1.weights,0.39304339053031345,0.3448105851672419,-2.323665125458298,2.323665125458298,-0.059263796017237975,0.9862751297385265,1.1118697582639852,-0.34242270914003137,0.0
4,parameters/conv2d_2.weights,0.011102977565069434,0.0004721605711185784,-0.0986117337386701,0.12435687315956165,-0.00187529970808257,1.0696110713659195,1.5879000175915639,1.3858642862665729,0.0
5,parameters/conv2d_5.weights,0.3355802046124712,0.3442959170186688,-2.4772586042391618,2.4772586042391618,-0.07218713960702768,1.0472205433581792,1.1169595777017323,-0.2864537707689001,0.0
6,parameters/conv2d_6.weights,0.30267459321892737,0.22886627617926728,-2.6755289727771525,2.6755289727771525,-0.05082327881044214,0.9762581261615226,1.3785972553766046,0.11240702502731828,0.0
7,parameters/conv2d_3.weights,0.26216366092728605,0.1864184085273951,-2.4413596574642287,2.4413596574642287,-0.05776770509684436,0.9820255797093571,1.7844734402944689,2.2250368029560716,0.005239237431936106
8,parameters/conv2d_7.weights,0.26329115291022165,0.19477990790091587,-2.434113363681485,2.434113363681485,-0.043775464302133596,1.0474658894330586,1.517116462415203,1.561070252224787,0.03236848639809675
9,parameters/conv2d_9.weights,0.017307225465354008,0.0006921420632366888,-0.1419123134479879,0.10340395778738402,-0.003803732569357575,1.0443021121119644,1.3948675460833255,-0.2835960996474535,0.0
10,parameters/conv2d_10.weights,0.28547088790017616,0.21251534436374486,-2.576326555811635,2.576326555811635,-0.0930124109540393,0.9983630454469969,1.5631615670947945,1.2648115987522655,0.09924269265923778
11,parameters/conv2d_11.weights,0.25634254800197775,0.2302045043446958,-2.4615176692676806,2.4615176692676806,-0.08800764302880873,1.043235527302028,2.025518003185583,1.9409590733442075,0.0677364546204822
12,parameters/dense.weights,0.39454708263217303,0.2431952693672227,-2.59327338835804,2.59327338835804,-0.008470323241066247,0.9643567243737988,1.088533614685277,-0.7888691673460355,0.03348812838044315
13,parameters/dense_1.weights,0.6151902827313018,0.6781568040643629,-2.5433379238744824,2.5433379238744824,-0.0013232664718353631,1.0577251349749417,0.18304010386893005,-1.530782947371153,0.0
14,parameters/dense_2.weights,1.2193523589024522,2.295446256314697,-2.2754532885826495,2.2754532885826495,0.16112243342027152,1.021757982069723,1.156685257001327,0.5630780858278216,0.0
