Unnamed: 0.1,Unnamed: 0,layer_index,median,variance,min,max,Mean,StdDev,Skewness,Kurtosis,Sparsity
0,0,parameters/conv2d.weights,0.004173601684484824,0.0038721310643719388,-0.1986558403056038,0.1986558403056038,-0.003481492858975386,1.0504847432904063,0.7000038888680132,-0.8950060014317377,0.03795374120428261
1,1,parameters/conv2d_4.weights,0.0037726895865684536,0.0032050558119547847,-0.1793074332665186,0.1793074332665186,-0.004094493086712545,0.9967224493055439,0.8029381994244169,-1.016885310012692,0.0
2,2,parameters/conv2d_8.weights,0.0038417749547192356,0.003179466759751605,-0.18657781415306313,0.18657781415306313,-0.0036350829446949854,1.0234330035591745,0.7529084330298766,-0.4401489071363536,0.0
3,3,parameters/conv2d_1.weights,0.04391187607077094,0.3136388181870628,-2.3418356052899605,2.198828320350555,-0.03097281394552223,1.0489999253933635,1.0909250679954572,-0.7023642743066721,0.0
4,4,parameters/conv2d_2.weights,0.003053844988343559,0.0025078333369039046,-0.1923390556795109,0.1923390556795109,-0.005398537854526245,1.0630501195971263,1.3179054335978022,0.11270537534064534,0.0
5,5,parameters/conv2d_5.weights,0.0042417388400396066,0.0031580976043112372,-0.20816507374560747,0.20816507374560747,-0.013778402276606478,1.0456524805774112,0.9810266400139449,-0.44273999278031656,0.029116950298205567
6,6,parameters/conv2d_6.weights,0.0034604287941163918,0.002760658991675191,-0.18774811963631446,0.18774811963631446,-0.007719514941449947,1.0179009850904188,1.4295972785512299,0.11277091115243063,0.054316208842322765
7,7,parameters/conv2d_3.weights,0.002951028465310834,0.0019225047788258465,-0.1804919366700093,0.1804919366700093,-0.004654670449706881,1.0465712232659605,1.1033960523947302,0.19006489198478724,0.0816578055464936
8,8,parameters/conv2d_7.weights,0.0028914006106590165,0.0016605038606699574,-0.18950615294849488,0.18950615294849488,-0.006140897323116586,0.9352533734592311,1.6199630604909094,0.8077752774792349,0.0
9,9,parameters/conv2d_9.weights,0.047609149238766156,0.3936891571221261,-2.823045338444776,2.56318476089772,-0.16936945747124804,0.9322674813178206,0.6156962328089558,-0.28926291080236516,0.0
10,10,parameters/conv2d_10.weights,0.0026804423174093127,0.0020736887855302213,-0.18301029630396637,0.18301029630396637,-0.006984503961717542,1.005568520399375,1.5220666144503188,0.16695037844106111,0.06084092267514193
11,11,parameters/conv2d_11.weights,0.0391335317394179,0.3998939212310004,-3.003102901962422,2.417911461466302,-0.09479466347514491,1.006787519584161,1.1378735624477228,0.8648728398244541,0.0
12,12,parameters/dense.weights,0.002484173146912819,0.0012015149434464788,-0.1828174653377678,0.1828174653377678,-0.0006816554172199582,0.9274297587732134,1.2497548334527968,0.4980097779733753,0.0
13,13,parameters/dense_1.weights,0.004882427619597875,0.0028133396305501193,-0.20735246687835548,0.20735246687835548,-0.005037477082363431,0.9552563507104105,0.7546057176988858,-1.1798876025137728,0.07480362897253219
14,14,parameters/dense_2.weights,0.021204758042047397,0.036299916402759425,-0.2011121579445884,0.2011121579445884,-0.09449869891209277,1.019909493208253,1.1818089260859381,1.2938159147947697,0.06426230392241473
